signatory_id,AgtId,From Node (Full Name),From Node (Short Name),agt_description,From Node Type,PP,Con,From Node Sub-Type,date,year,Edge,actor_id,actor_id_type,To Node Name,actor_detail,short_actor_name,actor_type,To Node Type,To Node Sub-Type,country_based,isco3c_actor_based,actor_additional_info,PAX_Hyperlink,PDF_Hyperlink
24,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,7,CON_7,France,,FRN,CON,Entity,Country/State,France,FRA,France is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
98,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,third party,49,IGO_49,United Nations,United Nations (General),UN,IGO,Entity,IGO,,,"United Nations (UN) is an IGO, with affiliations to Global Diplomatic IGOs (International Government Organizations). They are also referred to as United Nations || U.N. || UN",https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
92,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,party,45,CON_45,Georgia,,GRG,CON,Entity,Country/State,Georgia,GEO,Georgia is a Country/State in Asia. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
93,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,party,46,ENT_46,Abkhazia,,Abkhazia,ENT,Entity,Entity,Georgia,GEO,"Abkhazia is an entity, based in Georgia. ",https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
95,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,third party,21,CON_21,Russia,,RUS,CON,Entity,Country/State,Russian Federation,RUS,Russia is a Country/State in Europe. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
96,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,third party,7,CON_7,France,,FRN,CON,Entity,Country/State,France,FRA,France is a Country/State in Europe. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
97,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,third party,2,CON_2,Germany,,GMY,CON,Entity,Country/State,Germany,DEU,Germany is a Country/State in Europe. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
99,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,third party,50,IGO_50,Organization for Security and Cooperation in Europe,,OSCE,IGO,Entity,IGO,,,"Organization for Security and Cooperation in Europe (OSCE) is an IGO, with affiliations to Regional Defense / Security IGOs (International Government Organizations). They are also referred to as OSCE || Organization For Security And Cooperation In Europe || Organisation For Security And Cooperation In Europe || Organisation For Security And Co-Operation In Europe || Organization For Security And Co-Operation In Europe",https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
100,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,third party,19,CON_19,United Kingdom,,UKG,CON,Entity,Country/State,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom is a Country/State in Europe. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
101,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,third party,51,COA_51,Group of Friends UNSG,,Group of Friends UNSG,COA,Entity,State Coalition,,,The Group of Friends UNSG is a coalition of member states of the UN. The co-chairs of the  Group of Friends UNSG are the P5 Members of the UN Security Council: France | Germany | United States | Russia | United Kingdom. The full list of all members of the Group of Friends UNSG can be found here: https://www.unaoc.org/who-we-are/group-of-friends/members/,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
102,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998","Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/01/1998,1998,third party,3,CON_3,United States,,USA,CON,Entity,Country/State,United States of America,USA,United States is a Country/State in Americas. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17
123,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,"Pre-negotiation, 22 May 1998",Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/05/1998,1998,third party,3,CON_3,United States,,USA,CON,Entity,Country/State,United States of America,USA,United States is a Country/State in Americas. ,https://www.peaceagreements.org/view/19,https://www.peaceagreements.org/viewmasterdocument/19
122,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,"Pre-negotiation, 22 May 1998",Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/05/1998,1998,third party,51,COA_51,Group of Friends UNSG,,Group of Friends UNSG,COA,Entity,State Coalition,,,The Group of Friends UNSG is a coalition of member states of the UN. The co-chairs of the  Group of Friends UNSG are the P5 Members of the UN Security Council: France | Germany | United States | Russia | United Kingdom. The full list of all members of the Group of Friends UNSG can be found here: https://www.unaoc.org/who-we-are/group-of-friends/members/,https://www.peaceagreements.org/view/19,https://www.peaceagreements.org/viewmasterdocument/19
121,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,"Pre-negotiation, 22 May 1998",Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/05/1998,1998,third party,19,CON_19,United Kingdom,,UKG,CON,Entity,Country/State,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom is a Country/State in Europe. ,https://www.peaceagreements.org/view/19,https://www.peaceagreements.org/viewmasterdocument/19
118,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,"Pre-negotiation, 22 May 1998",Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/05/1998,1998,third party,7,CON_7,France,,FRN,CON,Entity,Country/State,France,FRA,France is a Country/State in Europe. ,https://www.peaceagreements.org/view/19,https://www.peaceagreements.org/viewmasterdocument/19
117,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,"Pre-negotiation, 22 May 1998",Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/05/1998,1998,third party,21,CON_21,Russia,,RUS,CON,Entity,Country/State,Russian Federation,RUS,Russia is a Country/State in Europe. ,https://www.peaceagreements.org/view/19,https://www.peaceagreements.org/viewmasterdocument/19
120,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,"Pre-negotiation, 22 May 1998",Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/05/1998,1998,third party,49,IGO_49,United Nations,United Nations (General),UN,IGO,Entity,IGO,,,"United Nations (UN) is an IGO, with affiliations to Global Diplomatic IGOs (International Government Organizations). They are also referred to as United Nations || U.N. || UN",https://www.peaceagreements.org/view/19,https://www.peaceagreements.org/viewmasterdocument/19
119,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,"Pre-negotiation, 22 May 1998",Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,22/05/1998,1998,third party,2,CON_2,Germany,,GMY,CON,Entity,Country/State,Germany,DEU,Germany is a Country/State in Europe. ,https://www.peaceagreements.org/view/19,https://www.peaceagreements.org/viewmasterdocument/19
136,21,"Concluding statement on the results of the second meeting of the Georgian and Abkhaz sides, Geneva, 23-25 July 1998.","Pre-negotiation, 25 July 1998","Welcomed implementation of 1997 Geneva agreement but noted several provisions had not been implemented.  Expressed concern that parties were far from agreement on key issues and stressed importance of bilateral contacts and direct dialogue as well as need for immediate implementation of the Coordination Council decision.  Reaffirmed determination to put an end to conflict and agreement to refrain from hostile propaganda.  Expressed commitment to rights of refugees/displaced persons, and to freedom of movement and security of humanitarian aid workers, and supported strengthened UN involvement.  Annexes outlined position of both sides on violence in the Gali district and on the return of refugees.",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,25/07/1998,1998,third party,64,IGO_64,United Nations,United Nations Development Programme,UNDP,IGO,Entity,IGO,,,"United Nations Development Programme (UNDP) is an IGO, with affiliations to Global Development IGOs (International Government Organizations). They are also referred to as United Nations Development Program || UNDP || United Nations Development Programme",https://www.peaceagreements.org/view/21,https://www.peaceagreements.org/viewmasterdocument/21
137,21,"Concluding statement on the results of the second meeting of the Georgian and Abkhaz sides, Geneva, 23-25 July 1998.","Pre-negotiation, 25 July 1998","Welcomed implementation of 1997 Geneva agreement but noted several provisions had not been implemented.  Expressed concern that parties were far from agreement on key issues and stressed importance of bilateral contacts and direct dialogue as well as need for immediate implementation of the Coordination Council decision.  Reaffirmed determination to put an end to conflict and agreement to refrain from hostile propaganda.  Expressed commitment to rights of refugees/displaced persons, and to freedom of movement and security of humanitarian aid workers, and supported strengthened UN involvement.  Annexes outlined position of both sides on violence in the Gali district and on the return of refugees.",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,25/07/1998,1998,third party,65,IGO_65,United Nations,High Commission for Refugees,UNHCR,IGO,Entity,IGO,,,"High Commission for Refugees (UNHCR) is an IGO, with affiliations to Global Refugees IGOs (United Nations). They are also referred to as UNHCR || United Nations Commission For Refugees || Un Refugee Agency || U.N. High Commissioner For Refugees || U.N. Commission For Refugees || Un Commission For Refugees || Un High Commissioner For Refugees || United Nations High Commissioner For Refugees || United Nations Refugee Agency || U.N. Refugee Agency",https://www.peaceagreements.org/view/21,https://www.peaceagreements.org/viewmasterdocument/21
138,21,"Concluding statement on the results of the second meeting of the Georgian and Abkhaz sides, Geneva, 23-25 July 1998.","Pre-negotiation, 25 July 1998","Welcomed implementation of 1997 Geneva agreement but noted several provisions had not been implemented.  Expressed concern that parties were far from agreement on key issues and stressed importance of bilateral contacts and direct dialogue as well as need for immediate implementation of the Coordination Council decision.  Reaffirmed determination to put an end to conflict and agreement to refrain from hostile propaganda.  Expressed commitment to rights of refugees/displaced persons, and to freedom of movement and security of humanitarian aid workers, and supported strengthened UN involvement.  Annexes outlined position of both sides on violence in the Gali district and on the return of refugees.",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,25/07/1998,1998,third party,51,COA_51,Group of Friends UNSG,,Group of Friends UNSG,COA,Entity,State Coalition,,,The Group of Friends UNSG is a coalition of member states of the UN. The co-chairs of the  Group of Friends UNSG are the P5 Members of the UN Security Council: France | Germany | United States | Russia | United Kingdom. The full list of all members of the Group of Friends UNSG can be found here: https://www.unaoc.org/who-we-are/group-of-friends/members/,https://www.peaceagreements.org/view/21,https://www.peaceagreements.org/viewmasterdocument/21
135,21,"Concluding statement on the results of the second meeting of the Georgian and Abkhaz sides, Geneva, 23-25 July 1998.","Pre-negotiation, 25 July 1998","Welcomed implementation of 1997 Geneva agreement but noted several provisions had not been implemented.  Expressed concern that parties were far from agreement on key issues and stressed importance of bilateral contacts and direct dialogue as well as need for immediate implementation of the Coordination Council decision.  Reaffirmed determination to put an end to conflict and agreement to refrain from hostile propaganda.  Expressed commitment to rights of refugees/displaced persons, and to freedom of movement and security of humanitarian aid workers, and supported strengthened UN involvement.  Annexes outlined position of both sides on violence in the Gali district and on the return of refugees.",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,25/07/1998,1998,third party,49,IGO_49,United Nations,United Nations (General),UN,IGO,Entity,IGO,,,"United Nations (UN) is an IGO, with affiliations to Global Diplomatic IGOs (International Government Organizations). They are also referred to as United Nations || U.N. || UN",https://www.peaceagreements.org/view/21,https://www.peaceagreements.org/viewmasterdocument/21
134,21,"Concluding statement on the results of the second meeting of the Georgian and Abkhaz sides, Geneva, 23-25 July 1998.","Pre-negotiation, 25 July 1998","Welcomed implementation of 1997 Geneva agreement but noted several provisions had not been implemented.  Expressed concern that parties were far from agreement on key issues and stressed importance of bilateral contacts and direct dialogue as well as need for immediate implementation of the Coordination Council decision.  Reaffirmed determination to put an end to conflict and agreement to refrain from hostile propaganda.  Expressed commitment to rights of refugees/displaced persons, and to freedom of movement and security of humanitarian aid workers, and supported strengthened UN involvement.  Annexes outlined position of both sides on violence in the Gali district and on the return of refugees.",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,25/07/1998,1998,third party,2,CON_2,Germany,,GMY,CON,Entity,Country/State,Germany,DEU,Germany is a Country/State in Europe. ,https://www.peaceagreements.org/view/21,https://www.peaceagreements.org/viewmasterdocument/21
129,21,"Concluding statement on the results of the second meeting of the Georgian and Abkhaz sides, Geneva, 23-25 July 1998.","Pre-negotiation, 25 July 1998","Welcomed implementation of 1997 Geneva agreement but noted several provisions had not been implemented.  Expressed concern that parties were far from agreement on key issues and stressed importance of bilateral contacts and direct dialogue as well as need for immediate implementation of the Coordination Council decision.  Reaffirmed determination to put an end to conflict and agreement to refrain from hostile propaganda.  Expressed commitment to rights of refugees/displaced persons, and to freedom of movement and security of humanitarian aid workers, and supported strengthened UN involvement.  Annexes outlined position of both sides on violence in the Gali district and on the return of refugees.",Peace Agreement,Abkhazia peace process,Georgia/Abkhazia,Pre-negotiation,25/07/1998,1998,party,46,ENT_46,Abkhazia,,Abkhazia,ENT,Entity,Entity,Georgia,GEO,"Abkhazia is an entity, based in Georgia. ",https://www.peaceagreements.org/view/21,https://www.peaceagreements.org/viewmasterdocument/21
