signatory_id,AgtId,Agt,short_agt_name,long_agt_name,description,Type,PP,PPName,Con,agt_type,stage_label,date,year,month,day,month_full,signatory_type,actor_id,actor_id_type,actor,actor_detail,actor_name,abbreviation,short_actor_name,type,actor_type,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,PAX_Hyperlink,PDF_Hyperlink,PA-X Page html,Agreement PDF html
23,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,19.0,CON_19,United Kingdom,,United Kingdom,UKG,UKG,CON,Country/State,United Kingdom of Great Britain and Northern Ireland,GBR,826.0,200.0,UKG,UKG,200.0,Europe,28.0,Government of United Kingdom,Government of the United Kingdom (2010-),Government of the United Kingdom (2010-),United Kingdom | UNITED KINGDOM | Britain | Great Britain | UK | United Kingdom | UNITED KINGDOM | United Kingdom Great Britain | United Kingdom of Great Britain and Northern Ireland | United Kingdom | British Government | United Kingdom  Government | United Kingdom Government,United Kingdom is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
22,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,20.0,CON_20,China,,China,CHN,CHN,CON,Country/State,China,CHN,156.0,710.0,CHN,CHN,710.0,Asia,135.0,Government of China,Government of China (2012-),Government of China (2012-) | Government of China (2017-) Hong Kong Special Administrative Region | Government of China (2019-) Macau Special Administrative Region,China | CHINA | China | People's Republic China | People's Republic China  Plenipotentiary | People Republic China | China | Ministers Foreign Affairs China | People Ã¢â‚¬â„¢s Republic China | Peoples Republic China | People Ã¢â‚¬â„¢s Republic China  Plenipotentiary,China is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
21,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,21.0,CON_21,Russia,,Russia,RUS,RUS,CON,Country/State,Russian Federation,RUS,643.0,365.0,RUS,RUS,365.0,Europe,57.0,Government of Russia (Soviet Union),Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,Russia (Soviet Union) | RUSSIAN FEDERATION | Russia | Russian Federation | RUSSIAN FEDERATION | Russian Federation - B. YELTSIN | Russian Federation Plenipotentiary | Russian Federation ( Facilitator | Russian Federation : | Russian Federation : Mikhailov | Russian Federation A. Kozirev | Russian Federation A. Shokhin | RUSSIAN FEDERATION ANGOLA | Russian Federation Federal Assembly | Russian Federation P. S. Grachev | Russian Federation Representative Sergey Viktorovich Lavrov | USSR  | Council of Federation of Russia | Russian Ministry of Foreign Affairs | Union of Soviet Socialist Republics | Soviet Union | Russian | Russia | Governments Russian Federation | Ministry Defence Russian Federation : P | Russian Federation Government | Russian Government | Russian Ministry Foreign Affairs | Russian Federation :  Mikhailov | Russian Federation  Plenipotentiary | Russian Federation V.V.Putin | V. V. Putin,Russia is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
20,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,3.0,CON_3,United States,,United States,USA,USA,CON,Country/State,United States of America,USA,840.0,2.0,USA,USA,2.0,Americas,3.0,Government of United States of America,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-),United States of America | UNITED STATES | America | AMERICA | U.S. | U.S.A | United States | United States  Islamic Emirate | United States America | UNITED STATES AMERICA ANGOLA  ANDREEV SERGUEI VADIMOVICH  AMBASSADOR | United States Presidential Special Envoy Promotion Democracy | USA,United States is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
35,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,8.0,IGO_8,United Nations,UN Security Council,UN Security Council,UNSC,UNSC,IGO,Intergovernmental Organization,,,,,,,,,,,,,Un Security Council || United Nations Security Council || UNSC || U.N. Security Council | UN Security Council | UN Security Council Resolution | UN Security General | United Nations Security Council | UNSC | Un Security Council  |  United Nations Security Council  |  UNSC  |  U.N. Security Council,"UN Security Council (UNSC) is an IGO, with affiliations to Global Defense / Security IGOs (United Nations). They are also referred to as Un Security Council || United Nations Security Council || UNSC || U.N. Security Council",https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
24,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,7.0,CON_7,France,,France,FRN,FRN,CON,Country/State,France,FRA,250.0,220.0,FRN,FRN,220.0,Europe,33.0,Government of France,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin,France | FRANCE | France | FRANCE | French Republic | French Republic Mr | French Republic : | French Republic Representative | Permanent Representatives France | Republic France | Republic of France | French Republic | French Republic  Mr | French Republic,France is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
36,6.0,Kosovo Peace Plan,"Pre-negotiation, 3 June 1999",Kosovo Peace Plan (3 June 1999),"The plan outlines areas on which agreement should be reached including: the deployment of international civilian and security presence; establishment of an interim administration under which the people of Kosovo would enjoy substantial autonomy within the FRY; return of all refugees and displaced persons under UNHCR supervision, and undisturbed access for humanitarian organisations. It also provides for withdraw of FRY armed personnel, with conditions for limited return. ",Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Intrastate,Pre-negotiation,1999-06-03 00:00:00,1999,6,3,June,party,22.0,CON_22,Yugoslavia,,Yugoslavia,YUG,YUG,CON,Country/State,,YUG,,345.0,YUG,,,,,,,,Yugoslavia | YUGOSLAVIA | Federal Republic Yugoslavia | Medical Service Yugoslav People Ã¢â‚¬â„¢s Army | National Defence Government Socialist Federative Republic Yugoslavia | Socialist Federal Republic Yugoslavia | Socialist Federative Republic Yugoslavia | Yugoslav Army | Yugoslav People Army | Yugoslav Peoples Army | Yugoslav Republic Macedonia | Yugoslavia | SFRY | SFRY republics,,https://www.peaceagreements.org/view/6,https://www.peaceagreements.org/viewmasterdocument/6,"<a href=""https://www.peaceagreements.org/view/6"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/6"" target=""_blank"">View agreement PDF</a>"
38,6.0,Kosovo Peace Plan,"Pre-negotiation, 3 June 1999",Kosovo Peace Plan (3 June 1999),"The plan outlines areas on which agreement should be reached including: the deployment of international civilian and security presence; establishment of an interim administration under which the people of Kosovo would enjoy substantial autonomy within the FRY; return of all refugees and displaced persons under UNHCR supervision, and undisturbed access for humanitarian organisations. It also provides for withdraw of FRY armed personnel, with conditions for limited return. ",Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Intrastate,Pre-negotiation,1999-06-03 00:00:00,1999,6,3,June,third party,5.0,IGO_5,European Union,,European Union,EU,EU,IGO,Intergovernmental Organization,,,,,,,,,,,,,EU || The European Union || European Union | EU | EU Admininstrator | EU Monitoring Mission | EU Special Representative | European Union | EUROPEAN UNION | European Union - MAMADOU KANE | European Union Canada Mediator | European Union Delegation European Commission | European Union League Arab States | European Union Representative | European Union Co - Chair | European Union External Action Service | European Union Foreign Affairs | European Union Foreign Affairs Security | European Union High Representative | European Union High Representative Foreign Affairs & Security | European Union Special Negotiator | European Unions | European Union Special Negotiator | EU Presidency | EU Administrator | Local Presidency of the European Union | PMEZ | Union Europeene | EU Monitoring Mission | European External Action Service | EU facilitator | European Union High Representative of the Union for Foreign Affairs and Security Policy | European Union External Action Service | UE | EU Special Envoy  | Presidency of the EU | EU Special Representative for the Great Lakes Region | EU  |  The European Union  |  European Union | EU | European Union | European Union (EU) | European Union  - MAMADOU KANE | EU | European Union | European Union Canada Mediator | European Union League Arab States | European Union Representative,"European Union (EU) is an IGO, with affiliations to Regional Diplomatic IGOs (International Government Organizations). They are also referred to as EU || The European Union || European Union",https://www.peaceagreements.org/view/6,https://www.peaceagreements.org/viewmasterdocument/6,"<a href=""https://www.peaceagreements.org/view/6"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/6"" target=""_blank"">View agreement PDF</a>"
40,6.0,Kosovo Peace Plan,"Pre-negotiation, 3 June 1999",Kosovo Peace Plan (3 June 1999),"The plan outlines areas on which agreement should be reached including: the deployment of international civilian and security presence; establishment of an interim administration under which the people of Kosovo would enjoy substantial autonomy within the FRY; return of all refugees and displaced persons under UNHCR supervision, and undisturbed access for humanitarian organisations. It also provides for withdraw of FRY armed personnel, with conditions for limited return. ",Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Intrastate,Pre-negotiation,1999-06-03 00:00:00,1999,6,3,June,third party,21.0,CON_21,Russia,,Russia,RUS,RUS,CON,Country/State,Russian Federation,RUS,643.0,365.0,RUS,RUS,365.0,Europe,57.0,Government of Russia (Soviet Union),Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,Russia (Soviet Union) | RUSSIAN FEDERATION | Russia | Russian Federation | RUSSIAN FEDERATION | Russian Federation - B. YELTSIN | Russian Federation Plenipotentiary | Russian Federation ( Facilitator | Russian Federation : | Russian Federation : Mikhailov | Russian Federation A. Kozirev | Russian Federation A. Shokhin | RUSSIAN FEDERATION ANGOLA | Russian Federation Federal Assembly | Russian Federation P. S. Grachev | Russian Federation Representative Sergey Viktorovich Lavrov | USSR  | Council of Federation of Russia | Russian Ministry of Foreign Affairs | Union of Soviet Socialist Republics | Soviet Union | Russian | Russia | Governments Russian Federation | Ministry Defence Russian Federation : P | Russian Federation Government | Russian Government | Russian Ministry Foreign Affairs | Russian Federation :  Mikhailov | Russian Federation  Plenipotentiary | Russian Federation V.V.Putin | V. V. Putin,Russia is a Country/State in Europe. ,https://www.peaceagreements.org/view/6,https://www.peaceagreements.org/viewmasterdocument/6,"<a href=""https://www.peaceagreements.org/view/6"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/6"" target=""_blank"">View agreement PDF</a>"
75,10.0,Final Document of the Moscow Meeting (Moscow Ceasefire),"Ceasefire, 3 September 1992",Final Document of the Moscow Meeting (Moscow Ceasefire) (3 September 1992),"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",Peace Agreement,43,Abkhazia peace process,Georgia/Russia/Abkhazia,Intrastate,Ceasefire,1992-09-03 00:00:00,1992,9,3,September,party,46.0,ENT_46,Abkhazia,,Abkhazia,,Abkhazia,ENT,Entity,Georgia,GEO,268.0,372.0,GRG,GRG,372.0,,,,,,,"Abkhazia is an entity, based in Georgia. ",https://www.peaceagreements.org/view/10,https://www.peaceagreements.org/viewmasterdocument/10,"<a href=""https://www.peaceagreements.org/view/10"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/10"" target=""_blank"">View agreement PDF</a>"
