actor_id,type,actor_id_type,new_actor_type,old_actor_type,actor_name,actor,actor_detail,abbreviation,short_actor_name,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,hyperlink
11,CON,CON_11,Country/State,Country/State,Canada,Canada,,CAN,CAN,Canada,CAN,124.0,20.0,CAN,CAN,20.0,Americas,4.0,Government of Canada,Government of Canada (2015-),Government of Canada (2015-),Canada | CANADA | Canada | CANADA | Canada | Government Canada,Canada is a Country/State in Americas. ,
12,CON,CON_12,Country/State,Country/State,Malaysia,Malaysia,,MAL,MAL,Malaysia,MYS,458.0,820.0,MAL,MAL,820.0,Asia,152.0,Government of Malaysia,Government of Malaysia (2021-),Government of Malaysia (2020-2021) | Government of Malaysia (2021-),Malaysia | MALAYSIA | Malaysian Government,Malaysia is a Country/State in Asia. ,
13,CON,CON_13,Country/State,Country/State,Namibia,Namibia,,NAM,NAM,Namibia,NAM,516.0,565.0,NAM,NAM,565.0,Africa,103.0,Government of Namibia,,,Namibia | NAMIBIA | Republic Namibia | Nambia | Government Republic Namibia,Namibia is a Country/State in Africa. ,
14,CON,CON_14,Country/State,Country/State,Slovenia,Slovenia,,SLV,SLV,Slovenia,SVN,705.0,349.0,SLV,SLV,349.0,Europe,51.0,Government of Slovenia,Government of Slovenia (2018-),Government of Slovenia (2018-),Slovenia | SLOVENIA | Republic Slovenia | Republic Slovenia : | Slovenia,Slovenia is a Country/State in Europe. ,
15,CON,CON_15,Country/State,Country/State,Brazil,Brazil,,BRA,BRA,Brazil,BRA,76.0,140.0,BRA,BRA,140.0,Americas,22.0,Government of Brazil,Government of Brazil (2019-),Government of Brazil (2016-2018) | Government of Brazil (2019-),Brazil | BRAZIL | Federative Republic Brazil | Federal Republic Brazil | Federative Republic Brazil | Federative Republic of Brazil  | BRAZIL,Brazil is a Country/State in Americas. ,
16,CON,CON_16,Country/State,Country/State,Gambia,Gambia,,GAM,GAM,Gambia,GMB,270.0,420.0,GAM,GAM,420.0,Africa,71.0,Government of Gambia,Government of Gambia (2017-),Government of Gambia (1996-2017) | Government of Gambia (2017-),Gambia | GAMBIA | Gambia | GAMBIA | Gambia ] | Republic Gambia | Republic GAMBIA,Gambia is a Country/State in Africa. ,
17,CON,CON_17,Country/State,Country/State,Gabon,Gabon,,GAB,GAB,Gabon,GAB,266.0,481.0,GAB,GAB,481.0,Africa,85.0,Government of Gabon,Government of Gabon (2009-),Government of Gabon (2009-),Gabon | GABON | Republic Gabon | Republic Gabonese Republic | Socialist Union Gabon | Gabonese Republic  | Gabonese Republic | Gabonese Republic  Republic | Gabonese Republic,Gabon is a Country/State in Africa. ,
18,CON,CON_18,Country/State,Country/State,Bahrain,Bahrain,,BAH,BAH,Bahrain,BHR,48.0,692.0,BAH,BAH,692.0,Asia,126.0,Government of Bahrain,Government of Bahrain (1999-),Government of Bahrain (1999-),Bahrain | BAHRAIN | Bahrain | Bahrain Chamber Commerce Industry | Kingdom Bahrain,Bahrain is a Country/State in Asia. ,
19,CON,CON_19,Country/State,Country/State,United Kingdom,United Kingdom,,UKG,UKG,United Kingdom of Great Britain and Northern Ireland,GBR,826.0,200.0,UKG,UKG,200.0,Europe,28.0,Government of United Kingdom,Government of the United Kingdom (2010-),Government of the United Kingdom (2010-),United Kingdom | UNITED KINGDOM | Britain | Great Britain | UK | United Kingdom | UNITED KINGDOM | United Kingdom Great Britain | United Kingdom of Great Britain and Northern Ireland | United Kingdom | British Government | United Kingdom  Government | United Kingdom Government,United Kingdom is a Country/State in Europe. ,
20,CON,CON_20,Country/State,Country/State,China,China,,CHN,CHN,China,CHN,156.0,710.0,CHN,CHN,710.0,Asia,135.0,Government of China,Government of China (2012-),Government of China (2012-) | Government of China (2017-) Hong Kong Special Administrative Region | Government of China (2019-) Macau Special Administrative Region,China | CHINA | China | People's Republic China | People's Republic China  Plenipotentiary | People Republic China | China | Ministers Foreign Affairs China | People Ã¢â‚¬â„¢s Republic China | Peoples Republic China | People Ã¢â‚¬â„¢s Republic China  Plenipotentiary,China is a Country/State in Asia. ,
21,CON,CON_21,Country/State,Country/State,Russia,Russia,,RUS,RUS,Russian Federation,RUS,643.0,365.0,RUS,RUS,365.0,Europe,57.0,Government of Russia (Soviet Union),Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,Russia (Soviet Union) | RUSSIAN FEDERATION | Russia | Russian Federation | RUSSIAN FEDERATION | Russian Federation - B. YELTSIN | Russian Federation Plenipotentiary | Russian Federation ( Facilitator | Russian Federation : | Russian Federation : Mikhailov | Russian Federation A. Kozirev | Russian Federation A. Shokhin | RUSSIAN FEDERATION ANGOLA | Russian Federation Federal Assembly | Russian Federation P. S. Grachev | Russian Federation Representative Sergey Viktorovich Lavrov | USSR  | Council of Federation of Russia | Russian Ministry of Foreign Affairs | Union of Soviet Socialist Republics | Soviet Union | Russian | Russia | Governments Russian Federation | Ministry Defence Russian Federation : P | Russian Federation Government | Russian Government | Russian Ministry Foreign Affairs | Russian Federation :  Mikhailov | Russian Federation  Plenipotentiary | Russian Federation V.V.Putin | V. V. Putin,Russia is a Country/State in Europe. ,
22,CON,CON_22,Country/State,Country/State,Yugoslavia,Yugoslavia,,YUG,YUG,,YUG,,345.0,YUG,,,,,,,,Yugoslavia | YUGOSLAVIA | Federal Republic Yugoslavia | Medical Service Yugoslav People Ã¢â‚¬â„¢s Army | National Defence Government Socialist Federative Republic Yugoslavia | Socialist Federal Republic Yugoslavia | Socialist Federative Republic Yugoslavia | Yugoslav Army | Yugoslav People Army | Yugoslav Peoples Army | Yugoslav Republic Macedonia | Yugoslavia | SFRY | SFRY republics,,
41,CON,CON_41,Country/State,Country/State,Benin,Benin,,BEN,BEN,Benin,BEN,204.0,434.0,BEN,BEN,434.0,Africa,1209.0,Government of Benin,Government of Benin (2016-),Government of Benin (2006-2016) | Government of Benin (2016-),Benin | BENIN | Republic BENIN | Republic Benin | Republic Benin  Mr FranÃƒÆ’Ã‚Â§ois | Republic of Benin | Republic Benin  Mr FranÃƒÂ§ois,Benin is a Country/State in Africa. ,
42,CON,CON_42,Country/State,Country/State,Congo,Congo,,CON,CON,Congo,COG,178.0,484.0,CON,CON,484.0,Africa,88.0,Government of Congo,Government of the Republic of Congo (1997-),Government of the Republic of Congo (1997-),"Congo | CONGO, REPUBLIC OF | Republic of the Congo | Republic Congo",Congo is a Country/State in Africa. ,
43,IGO,IGO_43,Intergovernmental Organization,IGO,Organization of African Unity,Organization of African Unity,,OAU,OAU,,,,,,,,,,,,,Organisation De L'UnitÃ© Africaine || Organization Of African Unity || OUA || OAU || Organisation Of African Unity |  Organization Of African Unity  |  OUA  | Organisation Of African Unity | Organization of African Unity | Org for African Unity | Organization for African Unity | Organisation for African Unity | Organization African Unity | Organization African Unity  OFFICE FORUM | Organisation African Unity | OAU Representative,"Organization of African Unity (OAU) is an IGO, with affiliations to Regional Diplomatic IGOs (International Government Organizations). They are also referred to as Organisation De L'Unité Africaine || Organization Of African Unity || OUA || OAU || Organisation Of African Unity",
45,CON,CON_45,Country/State,Country/State,Georgia,Georgia,,GRG,GRG,Georgia,GEO,268.0,372.0,GRG,GRG,372.0,Asia,63.0,Government of Georgia,Government of Georgia (2012-),Government of Georgia (2012-),Georgia | GEORGIA | Georgia | GEORGIA | Georgia - E. SHEVARDNADZE | Georgia Germany | Georgia I. Menagarishvili | Georgia V. Goguadze | Republic Georgia | Republic Georgia E. A. Shevardnadze | Republic Georgia O. Patsatsia,Georgia is a Country/State in Asia. ,
46,ENT,ENT_46,Entity,Entity,Abkhazia,Abkhazia,,,Abkhazia,Georgia,GEO,268.0,372.0,GRG,GRG,372.0,,,,,,,"Abkhazia is an entity, based in Georgia. ",
48,IGO,IGO_48,Intergovernmental Organization,IGO,Conference on Security and Cooperation in Europe,Conference on Security and Cooperation in Europe,,CSCE,CSCE,,,,,,,,,,,,,Helsinki Agreement || Helsinki Declaration | CSCE | Conference on Security and Cooperation in Europe,"The Conference on Security and Cooperation in Europe (CSCE) was an IGO established in 1973. It is the predecessor of the Organisation for Security and Cooperation in Europe (OSCE). It is often referred to as the Helsinki Agreement, as the final document was signed in Helsinki in 1975 by 33 European nations, the US and Canada to create the OSCE. ",
49,IGO,IGO_49,Intergovernmental Organization,IGO,United Nations (General),United Nations,United Nations (General),UN,UN,,,,,,,,,,,,,"United Nations || U.N. || UN | United Nations Representative | United Nations | UNITED NATIONS | United nations | United Nations - WILFRID | United Nations Babacar Gaye | United Nations Certified | United Nations H.E. | United Nations H.E. Yoweri | United Nations International Committee Red Cross International Federation Red Cross | UN Organization Chaired | United Nations Representative Organization Security Cooperation | United Nations Signed | United Nations USA Countries | United Nations , Economic Cooperation Organization | United Nations' Multidimensional Integrated Stabilization Mission | UNITED NATIONS COLOMBIA | UN Ad Litem | UN BH COMMAND | UN E. Brunner | UN Peace Monitoring Group Bougainville | United Nations Special Envoy | Untied Nations | The UN | U.N | U.N. | The U.N | UNA | United Nations Office | United Nations Organisation | United Nations Organization | United Nations Peace Forces | United Nations | Office United Nations | UN | UN & EC | United Nations  |  U.N.  |  UN | UN | United Nations | United Nations | Special Rapporteurs of the United Nations | UN & EC | Special Rapporteur Of The United Nations Human Rights Council  |  Special Rapporteur | UN International Police Task Force | United Nations  Babacar Gaye | United Nations  - WILFRID | United Nations Resident Coordinator","United Nations (UN) is an IGO, with affiliations to Global Diplomatic IGOs (International Government Organizations). They are also referred to as United Nations || U.N. || UN",
50,IGO,IGO_50,Intergovernmental Organization,IGO,Organization for Security and Cooperation in Europe,Organization for Security and Cooperation in Europe,,OSCE,OSCE,,,,,,,,,,,,,OSCE || Organization For Security And Cooperation In Europe || Organisation For Security And Cooperation In Europe || Organisation For Security And Co-Operation In Europe || Organization For Security And Co-Operation In Europe |  Organisation For Security And Cooperation In Europe  |  Organisation For Security And Co-Operation In Europe  |  Organization For Security And Co-Operation In Europe | Org. Security Cooperation Europe | Organization for Security and Cooperation in Europe (OSCE) | Organisation Security | Organisation Security Cooperation | Organization Security CoÃƒÂ¢Ã¢â€šÂ¬Ã‚Âoperation | Organization Security Cooperation | OSCE Assistance Group | OSCE Mission | OSCE Mission T. Guldimann | OSCE Support Group,"Organization for Security and Cooperation in Europe (OSCE) is an IGO, with affiliations to Regional Defense / Security IGOs (International Government Organizations). They are also referred to as OSCE || Organization For Security And Cooperation In Europe || Organisation For Security And Cooperation In Europe || Organisation For Security And Co-Operation In Europe || Organization For Security And Co-Operation In Europe",
51,COA,COA_51,State Coalition,State Coalition,Group of Friends UNSG,Group of Friends UNSG,,,Group of Friends UNSG,,,,,,,,,,,,,,The Group of Friends UNSG is a coalition of member states of the UN. The co-chairs of the  Group of Friends UNSG are the P5 Members of the UN Security Council: France | Germany | United States | Russia | United Kingdom. The full list of all members of the Group of Friends UNSG can be found here: https://www.unaoc.org/who-we-are/group-of-friends/members/,https://www.unaoc.org/who-we-are/group-of-friends/members/
52,CON,CON_52,Country/State,Country/State,Ukraine,Ukraine,,UKR,UKR,Ukraine,UKR,804.0,369.0,UKR,UKR,369.0,Europe,61.0,Government of Ukraine,Government of Ukraine (2019-),Government of Ukraine (2014-2019) | Government of Ukraine (2019-),Ukraine | UKRAINE | Ukraine,Ukraine is a Country/State in Europe. ,
54,CON,CON_54,Country/State,Country/State,Uzbekistan,Uzbekistan,,UZB,UZB,Uzbekistan,UZB,860.0,704.0,UZB,UZB,704.0,Asia,133.0,Government of Uzbekistan,Government of Uzbekistan (2016-),Government of Uzbekistan (2016-),Uzbekistan | UZBEKISTAN | Republic Uzbekistan | Republic Uzbekistan -  I. KARIMOV | Republic of Uzbekistan,Uzbekistan is a Country/State in Asia. ,
55,CON,CON_55,Country/State,Country/State,Kyrgyzstan,Kyrgyzstan,,KYR,KYR,Kyrgyzstan,KGZ,417.0,703.0,KYR,KYR,703.0,Asia,132.0,Government of Kyrgyzstan,Government of Kyrgyzstan (2017-2020),Government of Kyrgyzstan (2017-2020),Kyrgyz Republic | KYRGYZSTAN | Kyrgyz Republic | Kyrgyz Republic - A. | Kyrgyz Republic : | Kyrgyzstan | Kyrgyztan | Supreme Soviet of Kyrgyzstan,Kyrgyzstan is a Country/State in Asia. ,
56,CON,CON_56,Country/State,Country/State,Kazakhstan,Kazakhstan,,KZK,KZK,Kazakhstan,KAZ,398.0,705.0,KZK,KZK,705.0,Asia,134.0,Government of Kazakhstan,Government of Kazakhstan (2019-),Government of Kazakhstan (1990-2019) | Government of Kazakhstan (2019-),Kazakhstan | KAZAKHSTAN | Kazakhstan | Kazakshtan | Kazakstan | Republic Kazakhstan | Republic Kazakhstan - N | Republic Kazakstan,Kazakhstan is a Country/State in Asia. ,
57,CON,CON_57,Country/State,Country/State,Turkmenistan,Turkmenistan,,TKM,TKM,Turkmenistan,TKM,795.0,701.0,TKM,TKM,701.0,Asia,,,Government of Turkmenistan (2006-),Government of Turkmenistan (2006-),Turkmenistan | TURKMENISTAN | Turkmenistan,Turkmenistan is a Country/State in Asia. ,
59,CON,CON_59,Country/State,Country/State,Azerbaijan,Azerbaijan,,AZE,AZE,Azerbaijan,AZE,31.0,373.0,AZE,AZE,373.0,Asia,64.0,Government of Azerbaijan,Government of Azerbaijan (2003-),Government of Azerbaijan (2003-),Azerbaijan | AZERBAIJAN | Azerbaijan Republic | Azerbaijan Republic : | Azerbaijan Republic : S | Azerbaijani Republic - G. ALIYEV | Azerbaijani Republic : | Azerbaijani Supreme Soviet | Azerbaijan | Azerbaijan Ilham Aliyev | Republic Azerbaijan | Azerbaijan | Ministry Azerbaijan Republic : | Defence Azerbaijan : | Defence Azerbaijan Republic : | High Council Azerbaijan Republic : Jalilov  Acting | Army Azerbaijan Republic,Azerbaijan is a Country/State in Asia. ,
61,CON,CON_61,Country/State,Country/State,Armenia,Armenia,,ARM,ARM,Armenia,ARM,51.0,371.0,ARM,ARM,371.0,Asia,62.0,Government of Armenia,Government of Armenia (2018-),Government of Armenia (2008-2018) | Government of Armenia (2018-),Armenia | ARMENIA | Republic Armenia - R. | Republic Armenia | Republic Azerbaijan I. G. Alityev | Republic Armenia N.V. Pashinyan,Armenia is a Country/State in Asia. ,
62,CON,CON_62,Country/State,Country/State,Tajikistan,Tajikistan,,TAJ,TAJ,Tajikistan,TJK,762.0,702.0,TAJ,TAJ,702.0,Asia,131.0,Government of Tajikistan,Government of Tajikistan (1994-),Government of Tajikistan (1994-),Tajikistan | TAJIKISTAN | Republic Tajikistan | Tajikistan | Tajikistan | Delegation Government Republic Tajikistan | Government Republic Tajikistan,Tajikistan is a Country/State in Asia. ,
63,IGO,IGO_63,Intergovernmental Organization,IGO,CIS Peacekeeping Force,CIS Peacekeeping Force,,CIS-PKF,CIS-PKF,,,,,,,,,,,,, | CPKF | CPKF of CIS | CIS Peace- Keeping Forces | PKF of the CIS,"The CIS Peacekeeping Force, is the peacekeeping force within the Commonwealth of Independent States (CIS). It is also referred to as",
64,IGO,IGO_64,Intergovernmental Organization,IGO,United Nations Development Programme,United Nations,United Nations Development Programme,UNDP,UNDP,,,,,,,,,,,,,United Nations Development Program || UNDP || United Nations Development Programme | United Nations Development Programme | UNDP | United Nations Development Program  |  UNDP  |  United Nations Development Programme,"United Nations Development Programme (UNDP) is an IGO, with affiliations to Global Development IGOs (International Government Organizations). They are also referred to as United Nations Development Program || UNDP || United Nations Development Programme",
65,IGO,IGO_65,Intergovernmental Organization,IGO,High Commission for Refugees,United Nations,High Commission for Refugees,UNHCR,UNHCR,,,,,,,,,,,,,UNHCR || United Nations Commission For Refugees || Un Refugee Agency || U.N. High Commissioner For Refugees || U.N. Commission For Refugees || Un Commission For Refugees || Un High Commissioner For Refugees || United Nations High Commissioner For Refugees || United Nations Refugee Agency || U.N. Refugee Agency | United Nations High Commission Refugees | UNHCR | UNHCR ZENICA |  United Nations Commission For Refugees  |  Un Refugee Agency  |  U.N. High Commissioner For Refugees  |  U.N. Commission For Refugees  |  Un Commission For Refugees  |  Un High Commissioner For Refugees  |  United Nations High Commissioner For Refugees  |  United Nations Refugee Agency  |  U.N. Refugee Agency,"High Commission for Refugees (UNHCR) is an IGO, with affiliations to Global Refugees IGOs (United Nations). They are also referred to as UNHCR || United Nations Commission For Refugees || Un Refugee Agency || U.N. High Commissioner For Refugees || U.N. Commission For Refugees || Un Commission For Refugees || Un High Commissioner For Refugees || United Nations High Commissioner For Refugees || United Nations Refugee Agency || U.N. Refugee Agency",
70,CON,CON_70,Country/State,Country/State,India,India,,IND,IND,India,IND,356.0,750.0,IND,IND,750.0,Asia,141.0,Government of India,Government of India (2014-),Government of India (2014-),India | INDIA | India | Republic India | India | Government India | Government India Ministry Home Affairs | Government Republic India | Indian,India is a Country/State in Asia. ,
75,CON,CON_75,Country/State,Country/State,Iraq,Iraq,,IRQ,IRQ,Iraq,IRQ,368.0,645.0,IRQ,IRQ,645.0,Asia,116.0,Government of Iraq,Government of Iraq (2020-),Government of Iraq (2014-2018) | Government of Iraq (2018-2020) | Government of Iraq (2020-),Iraq | IRAQ | Iraq | Republic Iraq | Iraq | Delegation Iraq | Iraqi Governing Council,Iraq is a Country/State in Asia. ,
77,CON,CON_77,Country/State,Country/State,Syrian Arab Republic,Syrian Arab Republic,,SYR,SYR,Syrian Arab Republic,SYR,760.0,652.0,SYR,SYR,652.0,Asia,118.0,Government of Syria,Government of Syria (2000-),Government of Syria (2000-),Syria | SYRIAN ARAB REPUBLIC | Syrian Arab Republic | Syria | Syria | Syrian Government,Syrian Arab Republic is a Country/State in Asia. ,
78,CON,CON_78,Country/State,Country/State,Jordan,Jordan,,JOR,JOR,Jordan,JOR,400.0,663.0,JOR,JOR,663.0,Asia,120.0,Government of Jordan,Government of Jordan (1999-),Government of Jordan (1999-),Jordan | JORDAN,Jordan is a Country/State in Asia. ,
79,CON,CON_79,Country/State,Country/State,Lebanon,Lebanon,,LEB,LEB,Lebanon,LBN,422.0,660.0,LEB,LEB,660.0,Asia,119.0,Government of Lebanon,Government of Lebanon (2020-2021),Government of Lebanon (2016-2019) | Government of Lebanon (2019-2020) | Government of Lebanon (2020-2021),Lebanon | LEBANON | Lebanese Republic | Lebanon | Lebanon | Lebanese Government,Lebanon is a Country/State in Asia. ,
81,CON,CON_81,Country/State,Country/State,Norway,Norway,,NOR,NOR,Norway,NOR,578.0,385.0,NOR,NOR,385.0,Europe,67.0,Government of Norway,Government of Norway (2013-),Government of Norway (2013-),Norway | NORWAY | Kingdom Norway | Kingdom Norway  Bolivarian Republic Venezuela | Norway | NORWAY | Norway | Norwegian Government | Royal Norwegian Government | ROYAL NORWEGIAN GOVERNMENT Party Facilitator | ROYAL NORWEIGAN GOVERNMENT | Royal Government of Norway,Norway is a Country/State in Europe. ,
82,CON,CON_82,Country/State,Country/State,Egypt,Egypt,,EGY,EGY,Egypt,EGY,818.0,651.0,EGY,EGY,651.0,Africa,117.0,Government of Egypt,Government of Egypt (2014-),Government of Egypt (2012-2013) | Government of Egypt (2013-2014) | Government of Egypt (2014-) | Government of Egypt (1981-2011) | Government of Egypt (2011-2012),Egypt | EGYPT | Egypt | EGYPT | Republic Egypt |  the Arab Republic of Egypt | Egypt | Egyptian Government | Arab Republic Egypt,Egypt is a Country/State in Africa. ,
87,IGO,IGO_87,Intergovernmental Organization,IGO,African Union,African Union,,AU,AU,,,,,,,,,,,,,African Union | AU | THE AU | AU | Africa Union | African Union Commission | Commission of the African Union | L'Union Africaine | Chairperson of the African Union | Commission de lÃ¢â‚¬â„¢Union Africaine | Troika of the African Union | Secretary-General of the Organization of African Unity | African Union Mission for Mali and the Sahel | MISAHEL | MISMA | African Union High Level Ad-hoc Committee for South Sudan | African Union High-level Implementation Panel for Sudan and South Sudan | AUHIP | African Union Facilitator to the AJOC | African Union High Level Implementation Panel | Chairperson Africa Union | Chairperson African Union Commission  IV | Chairperson Commission African Union  - ( Signed | Chairperson Commission African Union ] | African Union | AFRICAN UNION | African Union ' | African Union - ( Signed | African Union - H.E. Kofi A. Annan | African Union Cc | African Union Excellency | African Union Commission | African Union Facilitator | African Union High | African Union High Level | African Union Mali | African Union Mission Mali | African Union SRCC Francisco Madeira | African Unity | AU | AU - UN | AU & ECOWAS | AU / UN Mediation | AU Commission | AU Headquarters | AUC | AUHIP | African Union  |  AU  |  THE AU | AU | African Union | Organisation African Union | Commission African Union  Excellency Ahmedou Ould ABDALLAH  Special Representative Secretary - General | African Union  Excellency | African Union  - H.E. Kofi A. Annan | African Union High Level Ad - hoc Committee South Sudan | AU High Representative | AU High Representatives | Chairperson African Union Commission | African Union High - Level Implementation Panel | AU Chair,"African Union (AU) is an IGO, with affiliations to Regional Diplomatic IGOs (International Government Organizations). They are also referred to as African Union || AU || THE AU",
90,CON,CON_90,Country/State,Country/State,Nigeria,Nigeria,,NIG,NIG,Nigeria,NGA,566.0,475.0,NIG,NIG,475.0,Africa,84.0,Government of Nigeria,Government of Nigeria (2015-),Government of Nigeria (1999-2015) | Government of Nigeria (2015-),Nigeria | NIGERIA | Federal Republic Nigeria | Federal Republic NIGERIA | Federal Republic Nigeria : Olusegun Obasanjo | Federal Republic Nigeria ] Page | Nigeria | Republic Nigeria | Federal Republic of Nigeria | Republic of Nigeria  | Federal Government Nigeria | Federal Republic  Nigeria,Nigeria is a Country/State in Africa. ,
