actor_id,id_paax,actor_name,actor_type,actor_iso3c,sub_type,cs_type,abbreviation,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,acled_name,acled_other
60,CON_60,Moldova,Country/State,MDA,,,,Moldova,359.0,Europe,,,,,,55.0,Government of Moldova,Government of Moldova (2021-),Government of Moldova (2016-2019) | Government of Moldova (2019-2020) | Government of Moldova (2021-) | Government of Moldova (2016-2019) Gagauzia Regional Government | Government of Moldova (2019-) Gagauzia Regional Government | Government of Moldova (2020-2021)
61,CON_61,Armenia,Country/State,ARM,,,,Armenia,371.0,Asia,,,,,,62.0,Government of Armenia,Government of Armenia (2018-),Government of Armenia (2008-2018) | Government of Armenia (2018-)
62,CON_62,Tajikistan,Country/State,TJK,,,,Tajikistan,702.0,Asia,,,,,,131.0,Government of Tajikistan,Government of Tajikistan (1994-),
63,IGO_63,CIS Peacekeeping Force,Intergovernmental Organization,,Regional,,CIS-PKF,,,Europe,,,1.0,,,,,,
64,IGO_64,United Nations Development Programme,Intergovernmental Organization,,,,UNDP,,,,United Nations,1.0,,,,,,,
65,IGO_65,High Commission for Refugees,Intergovernmental Organization,,,,UNHCR,,,,United Nations,1.0,,,,,,,
66,MIL_66,Haiti Armed Forces,Military,HTI,,,,Haiti,41.0,Americas,,,,,,,,Military Forces of Haiti (2017-),
67,CON_67,Haiti,Country/State,HTI,,,,Haiti,41.0,Americas,,,,,,6.0,Government of Haiti,Government of Haiti (2017-),
68,IGO_68,Organization of American States,Intergovernmental Organization,,Regional,,OAS,,,Americas,,,1.0,,,,,,
69,ENT_69,Assam,Entity,IND,,,,India,750.0,Asia,,,,,,,,,
70,CON_70,India,Country/State,IND,,,,India,750.0,Asia,,,,,,141.0,Government of India,Government of India (2014-),
71,OTH_71,BPAC,Other,IND,,,,India,750.0,Asia,,,,1.0,,,,,
72,NGO_72,All Bodo Students Union,Civil Society,IND,Non-governmental Organization,Youth,ABSU,India,750.0,Asia,,,,1.0,,,,,
73,ARM_73,Hmar People's Convention,Armed Organization,IND,,,HPC,India,750.0,Asia,,,,,,885.0,HPC,HPC-D: Hmar People's Convention (Democratic),
74,ENT_74,Mizoram,Entity,IND,,,,India,750.0,Asia,,,,,,,,,
75,CON_75,Iraq,Country/State,IRQ,,,,Iraq,645.0,Asia,,,,,,116.0,Government of Iraq,Government of Iraq (2020-),Government of Iraq (2014-2018) | Government of Iraq (2018-2020) | Government of Iraq (2020-)
76,CON_76,Israel,Country/State,ISR,,,,Israel,666.0,Asia,,,,,,121.0,Government of Israel,Government of Israel (2009-2021),
77,CON_77,Syrian Arab Republic,Country/State,SYR,,,,Syria,652.0,Asia,,,,,,118.0,Government of Syria,Government of Syria (2000-),
78,CON_78,Jordan,Country/State,JOR,,,,Jordan,663.0,Asia,,,,,,120.0,Government of Jordan,Government of Jordan (1999-),
79,CON_79,Lebanon,Country/State,LBN,,,,Lebanon,660.0,Asia,,,,,,119.0,Government of Lebanon,Government of Lebanon (2020-2021),Government of Lebanon (2016-2019) | Government of Lebanon (2019-2020) | Government of Lebanon (2020-2021)
80,ARM_80,Palestine Liberation Organization ,Armed Organization,PSE,,,PLO,Palestine,667.0,Asia,,,,,,204.0,PLO,PLO: Palestinian Liberation Organisation,
81,CON_81,Norway,Country/State,NOR,,,,Norway,385.0,Europe,,,,,,67.0,Government of Norway,Government of Norway (2013-),
82,CON_82,Egypt,Country/State,EGY,,,,Egypt,651.0,Africa,,,,,,117.0,Government of Egypt,Government of Egypt (2014-),Government of Egypt (2012-2013) | Government of Egypt (2013-2014) | Government of Egypt (2014-) | Government of Egypt (1981-2011) | Government of Egypt (2011-2012)
83,CON_83,Liberia,Country/State,LBR,,,,Liberia,450.0,Africa,,,,,,79.0,Government of Liberia,Government of Liberia (2018-),Government of Liberia (2006-2018) | Government of Liberia (2018-)
84,ARM_84,National Patriotic Front of Liberia,Armed Organization,LBR,,,NPFL,Liberia,450.0,Africa,,,,,,507.0,NPFL,NPFL: National Patriotic Front Liberia,Former NPFL: National Patriotic Front Liberia
85,CON_85,Togo,Country/State,TGO,,,,Togo,461.0,Africa,,,,,,82.0,Government of Togo,Government of Togo (2005-),
86,CON_86,Burkina Faso,Country/State,BFA,,,,Burkina Faso,439.0,Africa,,,,,,78.0,Government of Burkina Faso,Government of Burkina Faso (2015-),Government of Burkina Faso (1987-2014) | Government of Burkina Faso (2014-2015) | Government of Burkina Faso (2015-)
87,IGO_87,African Union,Intergovernmental Organization,,Regional,,AU,,,Africa,,,1.0,,,,,,
88,CON_88,Côte d’Ivoire,Country/State,CIV,,,,Côte d'Ivoire (Ivory Coast),437.0,Africa,,,,,,76.0,Government of Ivory Coast,Government of the Ivory Coast (2011-),
89,IGO_89,Economic Community of West African States,Intergovernmental Organization,,Regional,,ECOWAS,,,Africa,,,1.0,,,,,,
90,CON_90,Nigeria,Country/State,NGA,,,,Nigeria,475.0,Africa,,,,,,84.0,Government of Nigeria,Government of Nigeria (2015-),Government of Nigeria (1999-2015) | Government of Nigeria (2015-)
91,CON_91,Guinea-Bissau,Country/State,GNB,,,,Guinea-Bissau,404.0,Africa,,,,,,70.0,Government of Guinea-Bissau,Government of Guinea-Bissau (2014-2020),
92,CON_92,Senegal,Country/State,SEN,,,,Senegal,433.0,Africa,,,,,,73.0,Government of Senegal,Government of Senegal (2012-),Government of Senegal (2000-2012) | Government of Senegal (2012-)
93,CON_93,Mali,Country/State,MLI,,,,Mali,432.0,Africa,,,,,,72.0,Government of Mali,Government of Mali (2020-2021),Government of Mali (2012-2013) | Government of Mali (2013-2020) | Government of Mali (2020-2021)
94,CON_94,Ghana,Country/State,GHA,,,,Ghana,452.0,Africa,,,,,,81.0,Government of Ghana,Government of Ghana (2017-),
95,NGO_95,Community of Sant' Egidio,Civil Society,,Religious,,,,,,,1.0,,,,,,,
96,NGO_96,Catholic Church,Civil Society,,Religious,,,,,,,1.0,,,,,,,
97,CON_97,Mozambique,Country/State,MOZ,,,,Mozambique,541.0,Africa,,,,,,100.0,Government of Mozambique,Government of Mozambique (1990-),
98,ARM_98,RENAMO,Armed Organization,MOZ,,,,Mozambique,541.0,Africa,,,,,,498.0,Renamo,RENAMO: Mozambican National Resistance,
99,CON_99,Sierra Leone,Country/State,SLE,,,,Sierra Leone,451.0,Africa,,,,,,80.0,Government of Sierra Leone,Government of Sierra Leone (2018-),Government of Sierra Leone (1998-2007) | Government of Sierra Leone (2007-2018) | Government of Sierra Leone (2018-)
100,ARM_100,Revolutionary United Front,Armed Organization,SLE,,,RUF,Sierra Leone,451.0,Africa,,,,,,532.0,RUF,RUF: Revolutionary United Front,RUF: Revolutionary United Front (Makeni Faction) I-RUF: Revolutionary United Front (Superman Faction) RUF: Revolutionary United Front (Superman Faction)
101,OTH_101,GOGOA,Other,ESP,,,,Spain,230.0,Europe,,,,1.0,,,,,
102,NGO_102,Amnistiaren Aldeko Batzordeak,Civil Society,ESP,Non-governmental Organization,Other,,Spain,230.0,Europe,,,,1.0,,,,,
103,NGO_103,Senideak,Civil Society,ESP,Non-governmental Organization,Other,,Spain,230.0,Europe,,,,1.0,,,,,
104,NGO_104,Bakea Orain (Peace Now),Civil Society,ESP,Non-governmental Organization,Other,,Spain,230.0,Europe,,,,1.0,,,,,
105,NGO_105,Gernika Batzordea,Civil Society,ESP,Non-governmental Organization,Other,,Spain,230.0,Europe,,,,1.0,,,,,
106,NGO_106,Egizan,Civil Society,ESP,Non-governmental Organization,Other,,Spain,230.0,Europe,,,,1.0,,,,,
107,NGO_107,Herria 2000 Eliza (aldizkaria),Civil Society,ESP,Religious,,,Spain,230.0,Europe,,,,1.0,,,,,
108,NGO_108,Hiru,Civil Society,ESP,Unions,,,Spain,230.0,Europe,,,,1.0,,,,,
109,NGO_109,Auto-Determinazioren Bilzarrak,Civil Society,ESP,Non-governmental Organization,Other,,Spain,230.0,Europe,,,,1.0,,,,,
110,NGO_110,Elkarri,Civil Society,ESP,Non-governmental Organization,Other,,Spain,230.0,Europe,,,,1.0,,,,,
111,NGO_111,Ezker Sindikalaren Konbergentzia ,Civil Society,ESP,Unions,,,Spain,230.0,Europe,,,,1.0,,,,,
112,NGO_112,STEE-ELIAS,Civil Society,ESP,Unions,,,Spain,230.0,Europe,,,,1.0,,,,,
113,NGO_113,Ezker Sindikalaren Koordinakundea-Coordinadora Unitaria de Izquierda Sindical,Civil Society,ESP,Unions,,,Spain,230.0,Europe,,,,1.0,,,,,
114,POL_114,National Unity,Political Party,ESP,,,AB,Spain,230.0,Europe,,,,,,,,,
115,POL_115,Partido Nacionalista Vasco,Political Party,ESP,,,PNV,Spain,230.0,Europe,,,,,,,,,
116,POL_116,Eusko Alkartasuna,Political Party,ESP,,,EA,Spain,230.0,Europe,,,,,,,,,
117,POL_117,Izquierda Unida,Political Party,ESP,,,IU,Spain,230.0,Europe,,,,,,,,,
118,ARM_118,Herri Batasuna,Armed Organization,ESP,,,,Spain,230.0,Europe,,,,,,,,,
119,NGO_119,Eusko Langileen Alkartasuna,Civil Society,ESP,Unions,,,Spain,230.0,Europe,,,,1.0,,,,,
120,NGO_120,Langile Abertzaleen Batzordeak,Civil Society,ESP,Unions,,,Spain,230.0,Europe,,,,1.0,,,,,
121,NGO_121,Euskal Herriko Nekazarien Elkartasuna,Civil Society,ESP,Unions,,,Spain,230.0,Europe,,,,1.0,,,,,
122,POL_122,BATZARRE ZUTIK (Batzarre),Political Party,ESP,,,BATZARRE ZUTIK,Spain,230.0,Europe,,,,,,,,,
123,ARM_123,Rahanwein Resistance Army,Armed Organization,SOM,,,,Somalia,520.0,Africa,,,,,,,,RRA: Rahanweyn Resistance Army,
124,ARM_124,Somali Salvation Democratic Front,Armed Organization,SOM,,,SSDF,Somalia,520.0,Africa,,,,,,499.0,SSDF,SSDF: Somali Salvation Democratic Front,
125,UMB_125,Somali National Alliance,Umbrella,SOM,,,SNA,Somalia,520.0,Africa,,,,,,,,,
126,ARM_126,Southern Somali National Movement,Armed Organization,SOM,,,SSNM,Somalia,520.0,Africa,,,,,,,,,
127,ARM_127,United Somali Root,Armed Organization,SOM,,,USR,Somalia,520.0,Africa,,,,,,,,,
128,ARM_128,Somali Patriotic Movement,Armed Organization,SOM,,,SPM,Somalia,520.0,Africa,,,,,,501.0,SPM,SPM: Somali Patriotic Movement,
129,ARM_129,Upper Jubba,Armed Organization,SOM,,,,Somalia,520.0,Africa,,,,,,,,,
130,POL_130,United Somali Party,Political Party,SOM,,,,Somalia,520.0,Africa,,,,,,,,,
131,ARM_131,United Somali Front,Armed Organization,SOM,,,USF,Somalia,520.0,Africa,,,,,,,,,
132,ARM_132,United Somali Congress,Armed Organization,SOM,,,USC,Somalia,520.0,Africa,,,,,,503.0,USC/SNA,USC-SNA Atto: United Somali Congress-Somali National Alliance (Atto Faction),
133,ARM_133,Somali Afrikans Muki Organization,Armed Organization,SOM,,,SAMO,Somalia,520.0,Africa,,,,,,,,,
134,ARM_134,Somali National Union,Armed Organization,SOM,,,SNU,Somalia,520.0,Africa,,,,,,,,,
135,ARM_135,Somali National Democratic Union,Armed Organization,SOM,,,SNDU,Somalia,520.0,Africa,,,,,,,,,
136,ARM_136,Somali Democratic Movement,Armed Organization,SOM,,,SDM,Somalia,520.0,Africa,,,,,,,,,
137,ARM_137,Somali Democratic Alliance,Armed Organization,SOM,,,SDA,Somalia,520.0,Africa,,,,,,,,,
138,ARM_138,Somali Salvation Congress,Armed Organization,SOM,,,SSC,Somalia,520.0,Africa,,,,,,,,,
139,CON_139,Italy,Country/State,ITA,,,,Italy,325.0,Europe,,,,,,44.0,Government of Italy,Government of Italy (2018-),
140,ARM_140,Commander of the Self-Proclaimed Military Junta,Armed Organization,GNB,,,,Guinea-Bissau,404.0,Africa,,,,,,,,,
141,MIL_141,Nigeria Armed Forces,Military,NGA,,,,Nigeria,475.0,Africa,,,,,,,,Military Forces of Nigeria (2015-),Military Forces of Nigeria (1993-1999) Rivers State Internal Security Task Force | Military Forces of Nigeria (1999-2015) | Military Forces of Nigeria (1999-2015) Joint Task Force | Military Forces of Nigeria (2015-) Joint Task Force | Military Forces of Nigeria (2015-) Lagos State Task Force
142,CON_142,Niger,Country/State,NER,,,,Niger,436.0,Africa,,,,,,75.0,Government of Niger,Government of Niger (2021-),Government of Niger (2011-2021) | Government of Niger (2021-)
143,ARM_143,Malaita Eagle Force,Armed Organization,SLB,,,MEF,Solomon Islands,940.0,Oceania,,,,,,,,,
144,ARM_144,Unified Communist Party of Nepal - Maoist,Armed Organization,NPL,,,CPN-M,Nepal,790.0,Asia,,,,,,258.0,CPN-M,CPN(M): Communist Party of Nepal (Maoist),
145,POL_145,Communist Party of Nepal (Maoist Centre),Political Party,NPL,,,CPN (Maoist),Nepal,790.0,Asia,,,,,,,,,
146,CON_146,Nepal,Country/State,NPL,,,,Nepal,790.0,Asia,,,,,,146.0,Government of Nepal,Government of Nepal (2015-),Government of Nepal (2008-2015) | Government of Nepal (2015-)
147,POL_147,Communist Party of Nepal (Unified Marxist–Leninist),Political Party,NPL,,,CPN (UML),Nepal,790.0,Asia,,,,,,,,,
148,POL_148,Nepali Congress,Political Party,NPL,,,,Nepal,790.0,Asia,,,,,,257.0,NC,,
149,POL_149,Nepal Sadbhavana Party,Political Party,NPL,,,,Nepal,790.0,Asia,,,,,,,,,
150,POL_150,Nepal Majdoor Kisan Party,Political Party,NPL,,,,Nepal,790.0,Asia,,,,,,,,,
151,POL_151,People's Front Nepal,Political Party,NPL,,,,Nepal,790.0,Asia,,,,,,,,,
152,UMB_152,United Left Front,Umbrella,NPL,,,ULF,Nepal,790.0,Asia,,,,,,,,,
153,POL_153,Nepal Socialist Party,Political Party,NPL,,,,Nepal,790.0,Asia,,,,,,,,,
154,POL_154,Nepal Workers' and Peasants' Party,Political Party,NPL,,,,Nepal,790.0,Asia,,,,,,,,,
155,ARM_155,Justice and Equality Movement,Armed Organization,SDN,,,JEM,Sudan,625.0,Africa,,,,,,468.0,JEM,JEM: Justice and Equality Movement,
156,ARM_156,Sudan Liberation Movement/Army,Armed Organization,SDN,,,SLM/A,Sudan,625.0,Africa,,,,,,469.0,SLM/A,,
157,CON_157,Chad,Country/State,TCD,,,,Chad,483.0,Africa,,,,,,87.0,Government of Chad,Government of Chad (2021-),Government of Chad (1990-2021) | Government of Chad (2021-)
158,CON_158,Sudan,Country/State,SDN,,,,Sudan,625.0,Africa,,,,,,112.0,Government of Sudan,Government of Sudan (2019-),Government of Sudan (1989-2019) | Government of Sudan (2019-)
159,CON_159,Ethiopia,Country/State,ETH,,,,Ethiopia,530.0,Africa,,,,,,97.0,Government of Ethiopia,Government of Ethiopia (2018-),Government of Ethiopia (1991-2018) | Government of Ethiopia (2018-)
160,CON_160,Philippines,Country/State,PHL,,,,Philippines,840.0,Asia,,,,,,154.0,Government of Philippines,Government of the Philippines (2016-),Government of the Philippines (2010-2016) | Government of the Philippines (2016-)
161,ARM_161,National Democratic Front of the Philippines,Armed Organization,PHL,,,NDFP,Philippines,840.0,Asia,,,,,,,,,
162,CON_162,Indonesia,Country/State,IDN,,,,Indonesia,850.0,Asia,,,,,,155.0,Government of Indonesia,Government of Indonesia (2014-),
163,ARM_163,Free Aceh Movement,Armed Organization,IDN,,,GAM,Indonesia,850.0,Asia,,,,,,327.0,GAM,GAM: Free Aceh Movement,
164,NGO_164,Centre for Humanitarian Dialogue,Civil Society,,Non-governmental Organization,Other,HD,,,,,1.0,,,,,,,
165,OTH_165,Aceh Police,Other,IDN,,,,Indonesia,850.0,Asia,,,,1.0,,,,,
166,OTH_166,Joint Committee on Humanitarian Action,Other,IDN,,,,Indonesia,850.0,Asia,,,,1.0,,,,,
167,OTH_167,Joint Committee on Security Modalities,Other,IDN,,,,Indonesia,850.0,Asia,,,,1.0,,,,,
168,UMB_168,Forces Nouvelles de Côte d'Ivoire,Umbrella,CIV,,,FAFN,Côte d'Ivoire (Ivory Coast),437.0,Africa,,,,,,,,,
169,CON_169,Ireland,Country/State,IRL,,,,Ireland,205.0,Europe,,,,,,29.0,Government of Ireland,Government of Ireland (2017-2020),
170,ENT_170,Northern Ireland,Entity,GBR,,,NI,United Kingdom,200.0,Europe,,,,,,,,,
171,CON_171,Finland,Country/State,FIN,,,,Finland,375.0,Europe,,,,,,65.0,Government of Finland,Government of Finland (2019-),
172,CON_172,Kenya,Country/State,KEN,,,,Kenya,501.0,Africa,,,,,,91.0,Government of Kenya,Government of Kenya (2013-),Government of Kenya (2002-2013) | Government of Kenya (2013-)
173,CON_173,South Sudan,Country/State,SSD,,,,South Sudan,626.0,Africa,,,,,,113.0,Government of South Sudan,Government of South Sudan (2011-),
174,CON_174,Tanzania,Country/State,TZA,,,,Tanzania,510.0,Africa,,,,,,92.0,Government of Tanzania,Government of Tanzania (1964-),
175,ARM_175,Lord’s Resistance Army,Armed Organization,UGA,,,LRA,Uganda,500.0,Africa,,,,,,488.0,LRA,LRA: Lords Resistance Army,
176,CON_176,Uganda,Country/State,UGA,,,,Uganda,500.0,Africa,,,,,,90.0,Government of Uganda,Government of Uganda (1986-),
177,CON_177,Chile,Country/State,CHL,,,,Chile,155.0,Americas,,,,,,25.0,Government of Chile,Government of Chile (2022-),Government of Chile (2018-2022) | Government of Chile (2022-)
178,CON_178,Peru,Country/State,PER,,,,Peru,135.0,Americas,,,,,,21.0,Government of Peru,Government of Peru (2021-),Government of Peru (2020-2020) | Government of Peru (2020-2021) | Government of Peru (2021-) | Government of Peru (2018-2020)
179,CON_179,Ecuador,Country/State,ECU,,,,Ecuador,130.0,Americas,,,,,,20.0,Government of Ecuador,Government of Ecuador (2021-),Government of Ecuador (2007-2021) | Government of Ecuador (2021-)
