id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,actor_iso3c,actor_country,actor_id,actor_name,abbreviation,alternative_names
CON_10,Country/State,,,,,,,NLD,Netherlands,10,Netherlands,,Netherlands | Kingdom Netherlands | Nederland | Holland | PaÃƒÂ­ses Bajos | Royal Kingdom of the Netherlands | Kingdom of the Netherlands
CON_11,Country/State,,,,,,,CAN,Canada,11,Canada,,Canada | Government Canada
CON_12,Country/State,,,,,,,MYS,Malaysia,12,Malaysia,,Malaysia | Malaysian Government
CON_13,Country/State,,,,,,,NAM,Namibia,13,Namibia,,Namibia | Republic Namibia | Nambia | Government Republic Namibia
CON_14,Country/State,,,,,,,SVN,Slovenia,14,Slovenia,,Slovenia | Republic Slovenia | Republic Slovenia :
CON_15,Country/State,,,,,,,BRA,Brazil,15,Brazil,,Brazil | Federative Republic Brazil | Federal Republic Brazil | Federative Republic of Brazil
CON_16,Country/State,,,,,,,GMB,Gambia,16,Gambia,,Gambia | Gambia ] | Republic Gambia
CON_17,Country/State,,,,,,,GAB,Gabon,17,Gabon,,Gabon | Republic Gabon | Republic Gabonese Republic | Socialist Union Gabon | Gabonese Republic | Gabonese Republic  Republic
CON_18,Country/State,,,,,,,BHR,Bahrain,18,Bahrain,,Bahrain | Bahrain Chamber Commerce Industry | Kingdom Bahrain
CON_19,Country/State,,,,,,P5,GBR,United Kingdom,19,United Kingdom,,United Kingdom | Britain | Great Britain | UK | United Kingdom Great Britain | United Kingdom of Great Britain and Northern Ireland | British Government | United Kingdom  Government | United Kingdom Government
CON_20,Country/State,,,,,,P5,CHN,China,20,China,,China | People's Republic China | People's Republic China  Plenipotentiary | People Republic China | Ministers Foreign Affairs China | People Ã¢â‚¬â„¢s Republic China | Peoples Republic China | People Ã¢â‚¬â„¢s Republic China  Plenipotentiary
CON_21,Country/State,,,,,,P5,RUS,Russia,21,Russia,,Russia (Soviet Union) | RUSSIAN FEDERATION | Russia | Russian Federation - B. YELTSIN | Russian Federation Plenipotentiary | Russian Federation ( Facilitator | Russian Federation : | Russian Federation : Mikhailov | Russian Federation A. Kozirev | Russian Federation A. Shokhin | RUSSIAN FEDERATION ANGOLA | Russian Federation Federal Assembly | Russian Federation P. S. Grachev | Russian Federation Representative Sergey Viktorovich Lavrov | USSR | Council of Federation of Russia | Russian Ministry of Foreign Affairs | Union of Soviet Socialist Republics | Soviet Union | Russian | Governments Russian Federation | Ministry Defence Russian Federation : P | Russian Federation Government | Russian Government | Russian Ministry Foreign Affairs | Russian Federation :  Mikhailov | Russian Federation  Plenipotentiary | Russian Federation V.V.Putin | V. V. Putin
CON_22,Country/State,,,,,,, ,Yugoslavia,22,Yugoslavia,,Yugoslavia | Federal Republic Yugoslavia | Medical Service Yugoslav People Ã¢â‚¬â„¢s Army | National Defence Government Socialist Federative Republic Yugoslavia | Socialist Federal Republic Yugoslavia | Socialist Federative Republic Yugoslavia | Yugoslav Army | Yugoslav People Army | Yugoslav Peoples Army | Yugoslav Republic Macedonia | SFRY | SFRY republics
POL_23,Political Party,,,,,,,GAB,Gabon,23,Progress Party of Gabon,PGP,
POL_24,Political Party,,,,,,,GAB,Gabon,24,People’s Socialist Emancipation Movement,MESP,
POL_25,Political Party,,,,,,,GAB,Gabon,25,African Forum for Reconstruction,FAR,
POL_26,Political Party,,,,,,,GAB,Gabon,26,National Recovery Movement,MORENA,
POL_27,Political Party,,,,,,,GAB,Gabon,27,Democratic & Republican Alliance,ADERE,
POL_28,Political Party,,,,,,,GAB,Gabon,28,Independent Centre Party of Gabon,PGCI,
POL_29,Political Party,,,,,,,GAB,Gabon,29,Democratic Justice Congress,CDJ,
POL_30,Political Party,,,,,,,GAB,Gabon,30,Democratic Party of Gabon,PDG,
POL_31,Political Party,,,,,,,GAB,Gabon,31,Social Democratic Party,PSD,
POL_32,Political Party,,,,,,,GAB,Gabon,32,United People’s Party,PUP-CRISE,
POL_33,Political Party,,,,,,,GAB,Gabon,33,Liberal Reform Convention,CLR,
POL_34,Political Party,,,,,,,GAB,Gabon,34,National Assembly of Foresters,RNB,
POL_35,Political Party,,,,,,,GAB,Gabon,35,Gabon People’s Union,UPG,
UMB_36,Umbrella,,,,,,,GAB,Gabon,36,Political Groups,,
POL_37,Political Party,,,,,,,GAB,Gabon,37,Radical Independent Republican Party,PARI,
POL_38,Political Party,,,,,,,GAB,Gabon,38,Gabon Association for Socialism,APSG,
POL_39,Political Party,,,,,,,GAB,Gabon,39,Unity People’s Party,PUP,
POL_40,Political Party,,,,,,,GAB,Gabon,40,Socialist Union of Gabon,USG,
CON_41,Country/State,,,,,,,BEN,Benin,41,Benin,,Benin | Republic BENIN | Republic Benin  Mr FranÃƒÆ’Ã‚Â§ois | Republic of Benin | Republic Benin  Mr FranÃƒÂ§ois
CON_42,Country/State,,,,,,,COG,"Congo, Republic of the",42,Congo,,"Congo | CONGO, REPUBLIC OF | Republic of the Congo | Republic Congo"
IGO_43,Intergovernmental Organization,Regional,,,1.0,,,,,43,Organization of African Unity,OAU,Organisation De L'UnitÃ© Africaine | Organization Of African Unity | OUA | OAU | Organisation Of African Unity | Org for African Unity | Organization for African Unity | Organisation for African Unity | Organization African Unity | Organization African Unity  OFFICE FORUM | Organisation African Unity | OAU Representative
CON_44,Country/State,,,,,,,GIN,Guinea,44,Guinea ,,Guinea | Republic Guinea | Republic Guinea - Bissau
CON_45,Country/State,,,,,,,GEO,Georgia,45,Georgia,,Georgia | Georgia - E. SHEVARDNADZE | Georgia Germany | Georgia I. Menagarishvili | Georgia V. Goguadze | Republic Georgia | Republic Georgia E. A. Shevardnadze | Republic Georgia O. Patsatsia
ENT_46,Entity,,,,,,,GEO,Georgia,46,Abkhazia,,
ENT_47,Entity,,,,,,,RUS,Russia,47,North Caucasian,,
IGO_48,Intergovernmental Organization,Regional,,,1.0,,,,,48,Conference on Security and Cooperation in Europe,CSCE,Helsinki Agreement | Helsinki Declaration | CSCE | Conference on Security and Cooperation in Europe
IGO_49,Intergovernmental Organization,,,1.0,,,United Nations,,,49,United Nations (General),UN,"United Nations | U.N. | UN | United Nations Representative | United Nations - WILFRID | United Nations Babacar Gaye | United Nations Certified | United Nations H.E. | United Nations H.E. Yoweri | United Nations International Committee Red Cross International Federation Red Cross | UN Organization Chaired | United Nations Representative Organization Security Cooperation | United Nations Signed | United Nations USA Countries | United Nations , Economic Cooperation Organization | United Nations' Multidimensional Integrated Stabilization Mission | UNITED NATIONS COLOMBIA | UN Ad Litem | UN BH COMMAND | UN E. Brunner | UN Peace Monitoring Group Bougainville | United Nations Special Envoy | Untied Nations | The UN | U.N | The U.N | UNA | United Nations Office | United Nations Organisation | United Nations Organization | United Nations Peace Forces | Office United Nations | UN & EC | Special Rapporteurs of the United Nations | Special Rapporteur Of The United Nations Human Rights Council | Special Rapporteur | UN International Police Task Force | United Nations  Babacar Gaye | United Nations  - WILFRID | United Nations Resident Coordinator"
IGO_50,Intergovernmental Organization,Regional,,1.0,1.0,,,,,50,Organization for Security and Cooperation in Europe,OSCE,OSCE | Organization For Security And Cooperation In Europe | Organisation For Security And Cooperation In Europe | Organisation For Security And Co-Operation In Europe | Organization For Security And Co-Operation In Europe | Org. Security Cooperation Europe | Organization for Security and Cooperation in Europe (OSCE) | Organisation Security | Organisation Security Cooperation | Organization Security CoÃƒÂ¢Ã¢â€šÂ¬Ã‚Âoperation | Organization Security Cooperation | OSCE Assistance Group | OSCE Mission | OSCE Mission T. Guldimann | OSCE Support Group
COA_51,State Coalition,,,1.0,,,,,,51,Group of Friends UNSG,,
CON_52,Country/State,,,,,,,UKR,Ukraine,52,Ukraine,,Ukraine
IGO_53,Intergovernmental Organization,Regional,,1.0,1.0,,,,,53,Commonwealth of Independent States,CIS,Commonwealth Of Independent States | CIS | Commonwealth of Independent States (CIS) | Commonwealth Independent States
CON_54,Country/State,,,,,,,UZB,Uzbekistan,54,Uzbekistan,,Uzbekistan | Republic Uzbekistan | Republic Uzbekistan -  I. KARIMOV | Republic of Uzbekistan
CON_55,Country/State,,,,,,,KGZ,Kyrgyzstan,55,Kyrgyzstan,,Kyrgyz Republic | KYRGYZSTAN | Kyrgyz Republic - A. | Kyrgyz Republic : | Kyrgyztan | Supreme Soviet of Kyrgyzstan
CON_56,Country/State,,,,,,,KAZ,Kazakhstan,56,Kazakhstan,,Kazakhstan | Kazakshtan | Kazakstan | Republic Kazakhstan | Republic Kazakhstan - N | Republic Kazakstan
CON_57,Country/State,,,,,,,TKM,Turkmenistan,57,Turkmenistan,,Turkmenistan
CON_58,Country/State,,,,,,,BLR,Belarus,58,Belarus,,Belarus (Byelorussia) | BELARUS | Republic Belarus | Byelorussia
CON_59,Country/State,,,,,,,AZE,Azerbaijan,59,Azerbaijan,,Azerbaijan | Azerbaijan Republic | Azerbaijan Republic : | Azerbaijan Republic : S | Azerbaijani Republic - G. ALIYEV | Azerbaijani Republic : | Azerbaijani Supreme Soviet | Azerbaijan Ilham Aliyev | Republic Azerbaijan | Ministry Azerbaijan Republic : | Defence Azerbaijan : | Defence Azerbaijan Republic : | High Council Azerbaijan Republic : Jalilov  Acting | Army Azerbaijan Republic
CON_60,Country/State,,,,,,,MDA,Moldova,60,Moldova,,"Moldova | MOLDOVA, REPUBLIC OF | Republic Moldova"
CON_61,Country/State,,,,,,,ARM,Armenia,61,Armenia,,Armenia | Republic Armenia - R. | Republic Armenia | Republic Azerbaijan I. G. Alityev | Republic Armenia N.V. Pashinyan
CON_62,Country/State,,,,,,,TJK,Tajikistan,62,Tajikistan,,Tajikistan | Republic Tajikistan | Delegation Government Republic Tajikistan | Government Republic Tajikistan
IGO_63,Intergovernmental Organization,Regional,,,1.0,,,,,63,CIS Peacekeeping Force,CIS-PKF,CPKF | CPKF of CIS | CIS Peace- Keeping Forces | PKF of the CIS
IGO_64,Intergovernmental Organization,,,1.0,,,United Nations,,,64,United Nations Development Programme,UNDP,UNDP | United Nations Development Programme | United Nations Development Program | UN Development Programme
IGO_65,Intergovernmental Organization,,,1.0,,,United Nations,,,65,High Commission for Refugees,UNHCR,UNHCR | United Nations Commission For Refugees | Un Refugee Agency | U.N. High Commissioner For Refugees | U.N. Commission For Refugees | Un Commission For Refugees | Un High Commissioner For Refugees | United Nations High Commissioner For Refugees | United Nations Refugee Agency | U.N. Refugee Agency | United Nations High Commission Refugees | UNHCR ZENICA
MIL_66,Military,,,,,,,HTI,Haiti,66,Haiti Armed Forces,,Armed Forces Haiti
CON_67,Country/State,,,,,,,HTI,Haiti,67,Haiti,,Haiti | Republic Haiti | Haitian
IGO_68,Intergovernmental Organization,Regional,,,1.0,,,,,68,Organization of American States,OAS,Organisation Of American States | OAS | OEA | OrganizaciÃ³n De Los Estados Americanos | Organization Of American States | OrganizaciÃƒÂ³n De Los Estados Americanos | Pan American Union (OAS) | Pan-Am Union/Org of Am States | Pan American Union | Organization American States | the Organisation of American States
ENT_69,Entity,,,,,,,IND,India,69,Assam,,
CON_70,Country/State,,,,,,,IND,India,70,India,,India | Republic India | Government India | Government India Ministry Home Affairs | Government Republic India | Indian
OTH_71,Other,,,,,1.0,,IND,India,71,BPAC,,
NGO_72,Civil Society,Non-governmental Organization,Youth,,,1.0,,IND,India,72,All Bodo Students Union,ABSU,ABSU
ARM_73,Armed Organization,,,,,,,IND,India,73,Hmar People's Convention,HPC,
ENT_74,Entity,,,,,,,IND,India,74,Mizoram,,
CON_75,Country/State,,,,,,,IRQ,Iraq,75,Iraq,,Iraq | Republic Iraq | Delegation Iraq | Iraqi Governing Council
CON_76,Country/State,,,,,,,ISR,Israel,76,Israel,,Israel
CON_77,Country/State,,,,,,,SYR,Syria,77,Syrian Arab Republic,,Syria | SYRIAN ARAB REPUBLIC | Syrian Government
CON_78,Country/State,,,,,,,JOR,Jordan,78,Jordan,,Jordan
CON_79,Country/State,,,,,,,LBN,Lebanon,79,Lebanon,,Lebanon | Lebanese Republic | Lebanese Government
ARM_80,Armed Organization,,,,,,,PSE,Palestine,80,Palestine Liberation Organization ,PLO,Palestine Liberation Organisation | Palestine Liberation Organization | Palestinian Liberation Organisation | Palestinian Liberation Organization | Palestinian Liberation Organization Delegation | PLO | PLO Executive Committee
CON_81,Country/State,,,,,,,NOR,Norway,81,Norway,,Norway | Kingdom Norway | Kingdom Norway  Bolivarian Republic Venezuela | Norwegian Government | Royal Norwegian Government | ROYAL NORWEGIAN GOVERNMENT Party Facilitator | ROYAL NORWEIGAN GOVERNMENT | Royal Government of Norway | Norwegian
CON_82,Country/State,,,,,,,EGY,Egypt,82,Egypt,,Egypt | Republic Egypt | the Arab Republic of Egypt | Egyptian Government | Arab Republic Egypt
CON_83,Country/State,,,,,,,LBR,Liberia,83,Liberia,,Liberia | Republic Liberia
ARM_84,Armed Organization,,,,,,,LBR,Liberia,84,National Patriotic Front of Liberia,NPFL,National Patriotic Front of Liberia (Liberia)
CON_85,Country/State,,,,,,,TGO,Togo,85,Togo,,Togo | Republic Togo | Togolese Republic | Togolese Republic ( | Togolese Republic Honourable Commandant Facine Toure
CON_86,Country/State,,,,,,,BFA,Burkina Faso,86,Burkina Faso,,"Burkina Faso (Upper Volta) | BURKINA FASO | Burkina Faso - Excellency FÃƒÆ’Ã‚Â©lix Houphouet - Boigny | Burkina Faso Excellency FÃƒÆ’Ã‚Â©lix Houphouet - Boigny | Burkina Faso Salif Diallo | Burkina Faso , CÃƒÆ’Ã‚Â´te d'Ivoire | Burkina Faso Facilitator Direct Dialogue"
IGO_87,Intergovernmental Organization,Regional,,,1.0,,,,,87,African Union,AU,African Union | AU | THE AU | Africa Union | African Union Commission | Commission of the African Union | L'Union Africaine | Chairperson of the African Union | Commission de lÃ¢â‚¬â„¢Union Africaine | Troika of the African Union | Secretary-General of the Organization of African Unity | African Union Mission for Mali and the Sahel | MISAHEL | MISMA | African Union High Level Ad-hoc Committee for South Sudan | African Union High-level Implementation Panel for Sudan and South Sudan | AUHIP | African Union Facilitator to the AJOC | African Union High Level Implementation Panel | Chairperson Africa Union | Chairperson African Union Commission  IV | Chairperson Commission African Union  - ( Signed | Chairperson Commission African Union ] | African Union ' | African Union - ( Signed | African Union - H.E. Kofi A. Annan | African Union Cc | African Union Excellency | African Union Facilitator | African Union High | African Union High Level | African Union Mali | African Union Mission Mali | African Union SRCC Francisco Madeira | African Unity | AU - UN | AU & ECOWAS | AU / UN Mediation | AU Commission | AU Headquarters | AUC | Organisation African Union | Commission African Union  Excellency Ahmedou Ould ABDALLAH  Special Representative Secretary - General | African Union  Excellency | African Union  - H.E. Kofi A. Annan | African Union High Level Ad - hoc Committee South Sudan | AU High Representative | AU High Representatives | Chairperson African Union Commission | African Union High - Level Implementation Panel | AU Chair
CON_88,Country/State,,,,,,,CIV,Côte d'Ivoire (Ivory Coast),88,Côte d’Ivoire,,Cote DÃ¢â‚¬â„¢Ivoire | COTE D'IVOIRE | Ivory Coast | Republic CÃƒÆ’Ã‚Â´te | Republic CÃƒÆ’Ã‚Â´te d'Ivoire | Republic CÃƒÆ’Ã¢â‚¬ÂTE | Republic CBte d'lvoire | Republic Cote dÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢Ivoire | Republic Cote d'Ivoire | Republic Cote D'Ivoire H.E. Seydou Limana Diarra | Republic of Cote d'Ivoire | CÃƒÂ´te d'Ivoire | Republic Cote dÃ¢â‚¬â„¢Ivoire | Republic CÃƒÂ´te d'Ivoire | Republic CÃƒâ€TE
IGO_89,Intergovernmental Organization,Regional,,,1.0,,,,,89,Economic Community of West African States,ECOWAS,ECOWAS | Economic Community Of West African States | Economic Community West African States | CEDEAO | CEDEAO Ministerial Council Mediation Security | Economic Community | Economic Community Central African States | Economic Community West Africa | ECOWAS Committee | ECOWAS Executive | ECOWAS Group | ECOWAS Group Seven | Economic Community of West African States (ECOWAS) | Authority Heads State Government ECOWAS
CON_90,Country/State,,,,,,,NGA,Nigeria,90,Nigeria,,Nigeria | Federal Republic Nigeria | Federal Republic Nigeria : Olusegun Obasanjo | Federal Republic Nigeria ] Page | Republic Nigeria | Federal Republic of Nigeria | Republic of Nigeria | Federal Government Nigeria | Federal Republic  Nigeria
CON_91,Country/State,,,,,,,GNB,Guinea-Bissau,91,Guinea-Bissau,,Guinea-Bissau | Republic Guinea - Bissau
CON_92,Country/State,,,,,,,SEN,Senegal,92,Senegal,,Senegal | Republic SENEGAL | Republic Senegal - Honourable | Republic Senegal Excellency Gnassingbe | Republic of Senegal | Republic Senegal  Excellency Gnassingbe | Republic Senegal  - Honourable
CON_93,Country/State,,,,,,,MLI,Mali,93,Mali,,Mali | Islamic Republic Mali | Mali  Mainy Ould Assalik | Republic Mali | Republic Mali  Gal | Islamic Republic of Mali
CON_94,Country/State,,,,,,,GHA,Ghana,94,Ghana,,Ghana | Ghana Honourable | Ghana V. INTERNATIONAL PARTNERS | Republic Ghana | Republic of Ghana
NGO_95,Civil Society,Religious,,1.0,,,,,,95,Community of Sant' Egidio,,community of sant egidio | Community of Sant'Egidio | Matteo Zuppi | Andrea Riccardi | Sant'Egidio | Paolo Impagliazzo
NGO_96,Civil Society,Religious,,1.0,,,,,,96,Catholic Church,,Cath Church | Miguel Cardinal Obando y Bravo | Abbe Bruno Stephanie KOMGBO
CON_97,Country/State,,,,,,,MOZ,Mozambique,97,Mozambique,,Mozambique | People Republic Mozambique | Republic Mozambique | Republic Mozambique Current | GRM | Government of the Republic of Mozambique
ARM_98,Armed Organization,,,,,,,MOZ,Mozambique,98,RENAMO,,Mozambican National Resistance | Resistência Nacional Moçambicana
CON_99,Country/State,,,,,,,SLE,Sierra Leone,99,Sierra Leone,,Sierra Leone | Republic Sierra Leone | Republic ofÃ‚Â Sierra Leone | Salone
ARM_100,Armed Organization,,,,,,,SLE,Sierra Leone,100,Revolutionary United Front,RUF,
OTH_101,Other,,,,,1.0,,ESP,Spain,101,GOGOA,,
NGO_102,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,102,Amnistiaren Aldeko Batzordeak,,
NGO_103,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,103,Senideak,,
NGO_104,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,104,Bakea Orain (Peace Now),,
NGO_105,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,105,Gernika Batzordea,,
NGO_106,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,106,Egizan,,
NGO_107,Civil Society,Religious,,,,1.0,,ESP,Spain,107,Herria 2000 Eliza (aldizkaria),,
NGO_108,Civil Society,Unions,,,,1.0,,ESP,Spain,108,Hiru,,
NGO_109,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,109,Auto-Determinazioren Bilzarrak,,
NGO_110,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,110,Elkarri,,
NGO_111,Civil Society,Unions,,,,1.0,,ESP,Spain,111,Ezker Sindikalaren Konbergentzia ,,
NGO_112,Civil Society,Unions,,,,1.0,,ESP,Spain,112,STEE-ELIAS,,
NGO_113,Civil Society,Unions,,,,1.0,,ESP,Spain,113,Ezker Sindikalaren Koordinakundea-Coordinadora Unitaria de Izquierda Sindical,,
POL_114,Political Party,,,,,,,ESP,Spain,114,National Unity,AB,
POL_115,Political Party,,,,,,,ESP,Spain,115,Partido Nacionalista Vasco,PNV,
POL_116,Political Party,,,,,,,ESP,Spain,116,Eusko Alkartasuna,EA,Basque Solidarity
POL_117,Political Party,,,,,,,ESP,Spain,117,Izquierda Unida,IU,
ARM_118,Armed Organization,,,,,,,ESP,Spain,118,Herri Batasuna,,
NGO_119,Civil Society,Unions,,,,1.0,,ESP,Spain,119,Eusko Langileen Alkartasuna,,
NGO_120,Civil Society,Unions,,,,1.0,,ESP,Spain,120,Langile Abertzaleen Batzordeak,,
NGO_121,Civil Society,Unions,,,,1.0,,ESP,Spain,121,Euskal Herriko Nekazarien Elkartasuna,,
POL_122,Political Party,,,,,,,ESP,Spain,122,BATZARRE ZUTIK (Batzarre),BATZARRE ZUTIK,
ARM_123,Armed Organization,,,,,,,SOM,Somalia,123,Rahanwein Resistance Army,,
ARM_124,Armed Organization,,,,,,,SOM,Somalia,124,Somali Salvation Democratic Front,SSDF,
UMB_125,Umbrella,,,,,,,SOM,Somalia,125,Somali National Alliance,SNA,
ARM_126,Armed Organization,,,,,,,SOM,Somalia,126,Southern Somali National Movement,SSNM,
ARM_127,Armed Organization,,,,,,,SOM,Somalia,127,United Somali Root,USR,
ARM_128,Armed Organization,,,,,,,SOM,Somalia,128,Somali Patriotic Movement,SPM,Somali Patriotic Movement | Somali Patriotic Movement / Somali National Alliance | Somali Patriotic Movement / Somali Salvation Alliance | SPM | SPM / Nakuru
ARM_129,Armed Organization,,,,,,,SOM,Somalia,129,Upper Jubba,,
POL_130,Political Party,,,,,,,SOM,Somalia,130,United Somali Party,,
ARM_131,Armed Organization,,,,,,,SOM,Somalia,131,United Somali Front,USF,
ARM_132,Armed Organization,,,,,,,SOM,Somalia,132,United Somali Congress,USC,Somali National Alliance | SNA | USC/SNA
ARM_133,Armed Organization,,,,,,,SOM,Somalia,133,Somali Afrikans Muki Organization,SAMO,
ARM_134,Armed Organization,,,,,,,SOM,Somalia,134,Somali National Union,SNU,Somali National Union | Somali National Union / Somali Salvation Alliance
ARM_135,Armed Organization,,,,,,,SOM,Somalia,135,Somali National Democratic Union,SNDU,Somali National Democratic Union | Somali National Democratic Union / Somali Salvation Alliance
ARM_136,Armed Organization,,,,,,,SOM,Somalia,136,Somali Democratic Movement,SDM,Somali Democratic Movement | Somali Democratic Movement / Bonkai | Somali Democratic Movement / Rahanwein Resistance Army | Somali Democratic Movement / Somali National Alliance | Somali Democratic Movement / Somali Salvation Alliance
ARM_137,Armed Organization,,,,,,,SOM,Somalia,137,Somali Democratic Alliance,SDA,Somali Democratic Alliance | Somali Democratic Alliance / Somali Salvation Alliance
ARM_138,Armed Organization,,,,,,,SOM,Somalia,138,Somali Salvation Congress,SSC,
CON_139,Country/State,,,,,,,ITA,Italy,139,Italy,,Italy/Sardinia | ITALY | Republic Italy | Government Italian Public | Government Italy | Italian Government  Signing | Italian Republic
ARM_140,Armed Organization,,,,,,,GNB,Guinea-Bissau,140,Commander of the Self-Proclaimed Military Junta,,
MIL_141,Military,,,,,,,NGA,Nigeria,141,Nigeria Armed Forces,,Armed Forces Federal Republic Nigeria | Armed Forces Federal Republic Nigeria Excellency | Armed Forces Federal Republic Nigeria Excellency Maftre Abdoulaye WADE
CON_142,Country/State,,,,,,,NER,Niger,142,Niger,,"Niger | Niger  Yahaya Assoumane | Republic Niger | Republic Niger ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ | Republic Niger Excellency Olusegun OBASANJO | Republic Niger MaÃƒÆ’Ã‚Â¯ MaÃƒÆ’Ã‚Â¯ Gana | Republic Niger Mr MAÃƒÆ’Ã‚Â MAÃƒÆ’Ã‚Â | Republic Niger , Current | Republic Niger ISSOFOU OUBANDAWAKI | Republic Niger  Excellency Olusegun OBASANJO"
ARM_143,Armed Organization,,,,,,,SLB,Solomon Islands,143,Malaita Eagle Force,MEF,
ARM_144,Armed Organization,,,,,,,NPL,Nepal,144,Unified Communist Party of Nepal - Maoist,CPN-M,
POL_145,Political Party,,,,,,,NPL,Nepal,145,Communist Party of Nepal (Maoist Centre),CPN (Maoist),
CON_146,Country/State,,,,,,,NPL,Nepal,146,Nepal,,"Nepal | Government Nepal | Government Nepal , Coordinator : | Government Nepal : Coordinator : | Government Nepal Negotiating Team | Nepali Congress"
POL_147,Political Party,,,,,,,NPL,Nepal,147,Communist Party of Nepal (Unified Marxist–Leninist),CPN (UML),
POL_148,Political Party,,,,,,,NPL,Nepal,148,Nepali Congress,,
POL_149,Political Party,,,,,,,NPL,Nepal,149,Nepal Sadbhavana Party,,
POL_150,Political Party,,,,,,,NPL,Nepal,150,Nepal Majdoor Kisan Party,,
POL_151,Political Party,,,,,,,NPL,Nepal,151,People's Front Nepal,,
UMB_152,Umbrella,,,,,,,NPL,Nepal,152,United Left Front,ULF,
POL_153,Political Party,,,,,,,NPL,Nepal,153,Nepal Socialist Party,,
POL_154,Political Party,,,,,,,NPL,Nepal,154,Nepal Workers' and Peasants' Party,,
ARM_155,Armed Organization,,,,,,,SDN,Sudan,155,Justice and Equality Movement,JEM,JEM ( Justice Equality Movement | Justice and Equality Movement (JEM)
