signatory_id,AgtId,Agt,short_agt_name,long_agt_name,PP,PPName,Con,agt_type,stage_label,date,year,month,day,month_full,signatory_type,actor_id,actor_id_type,actor,actor_detail,actor_name,abbreviation,short_actor_name,type,new_actor_type,old_actor_type,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,PAX_Hyperlink,PDF_Hyperlink,PA-X Page html,Agreement PDF html
23,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10,1999,6,10,June,party,19,CON_19,United Kingdom,,United Kingdom,UKG,UKG,CON,Country/State,Country/State,United Kingdom of Great Britain and Northern Ireland,GBR,826.0,200.0,UKG,UKG,200.0,Europe,28.0,Government of United Kingdom,Government of the United Kingdom (2010-),Government of the United Kingdom (2010-),United Kingdom | UNITED KINGDOM | Britain | Great Britain | UK | United Kingdom | UNITED KINGDOM | United Kingdom Great Britain | United Kingdom of Great Britain and Northern Ireland | United Kingdom | British Government | United Kingdom  Government | United Kingdom Government,United Kingdom is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
22,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10,1999,6,10,June,party,20,CON_20,China,,China,CHN,CHN,CON,Country/State,Country/State,China,CHN,156.0,710.0,CHN,CHN,710.0,Asia,135.0,Government of China,Government of China (2012-),Government of China (2012-) | Government of China (2017-) Hong Kong Special Administrative Region | Government of China (2019-) Macau Special Administrative Region,China | CHINA | China | People's Republic China | People's Republic China  Plenipotentiary | People Republic China | China | Ministers Foreign Affairs China | People Ã¢â‚¬â„¢s Republic China | Peoples Republic China | People Ã¢â‚¬â„¢s Republic China  Plenipotentiary,China is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
21,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10,1999,6,10,June,party,21,CON_21,Russia,,Russia,RUS,RUS,CON,Country/State,Country/State,Russian Federation,RUS,643.0,365.0,RUS,RUS,365.0,Europe,57.0,Government of Russia (Soviet Union),Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,Russia (Soviet Union) | RUSSIAN FEDERATION | Russia | Russian Federation | RUSSIAN FEDERATION | Russian Federation - B. YELTSIN | Russian Federation Plenipotentiary | Russian Federation ( Facilitator | Russian Federation : | Russian Federation : Mikhailov | Russian Federation A. Kozirev | Russian Federation A. Shokhin | RUSSIAN FEDERATION ANGOLA | Russian Federation Federal Assembly | Russian Federation P. S. Grachev | Russian Federation Representative Sergey Viktorovich Lavrov | USSR  | Council of Federation of Russia | Russian Ministry of Foreign Affairs | Union of Soviet Socialist Republics | Soviet Union | Russian | Russia | Governments Russian Federation | Ministry Defence Russian Federation : P | Russian Federation Government | Russian Government | Russian Ministry Foreign Affairs | Russian Federation :  Mikhailov | Russian Federation  Plenipotentiary | Russian Federation V.V.Putin | V. V. Putin,Russia is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
20,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10,1999,6,10,June,party,3,CON_3,United States,,United States,USA,USA,CON,Country/State,Country/State,United States of America,USA,840.0,2.0,USA,USA,2.0,Americas,3.0,Government of United States of America,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-),United States of America | UNITED STATES | America | AMERICA | U.S. | U.S.A | United States | United States  Islamic Emirate | United States America | UNITED STATES AMERICA ANGOLA  ANDREEV SERGUEI VADIMOVICH  AMBASSADOR | United States Presidential Special Envoy Promotion Democracy | USA,United States is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
35,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10,1999,6,10,June,party,8,IGO_8,United Nations,UN Security Council,UN Security Council,UNSC,UNSC,IGO,Intergovernmental Organization,IGO,,,,,,,,,,,,,Un Security Council || United Nations Security Council || UNSC || U.N. Security Council | UN Security Council | UN Security Council Resolution | UN Security General | United Nations Security Council | UNSC | Un Security Council  |  United Nations Security Council  |  UNSC  |  U.N. Security Council,"UN Security Council (UNSC) is an IGO, with affiliations to Global Defense / Security IGOs (United Nations). They are also referred to as Un Security Council || United Nations Security Council || UNSC || U.N. Security Council",https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
24,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10,1999,6,10,June,party,7,CON_7,France,,France,FRN,FRN,CON,Country/State,Country/State,France,FRA,250.0,220.0,FRN,FRN,220.0,Europe,33.0,Government of France,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin,France | FRANCE | France | FRANCE | French Republic | French Republic Mr | French Republic : | French Republic Representative | Permanent Representatives France | Republic France | Republic of France | French Republic | French Republic  Mr | French Republic,France is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
98,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,third party,49,IGO_49,United Nations,United Nations (General),United Nations (General),UN,UN,IGO,Intergovernmental Organization,IGO,,,,,,,,,,,,,"United Nations || U.N. || UN | United Nations Representative | United Nations | UNITED NATIONS | United nations | United Nations - WILFRID | United Nations Babacar Gaye | United Nations Certified | United Nations H.E. | United Nations H.E. Yoweri | United Nations International Committee Red Cross International Federation Red Cross | UN Organization Chaired | United Nations Representative Organization Security Cooperation | United Nations Signed | United Nations USA Countries | United Nations , Economic Cooperation Organization | United Nations' Multidimensional Integrated Stabilization Mission | UNITED NATIONS COLOMBIA | UN Ad Litem | UN BH COMMAND | UN E. Brunner | UN Peace Monitoring Group Bougainville | United Nations Special Envoy | Untied Nations | The UN | U.N | U.N. | The U.N | UNA | United Nations Office | United Nations Organisation | United Nations Organization | United Nations Peace Forces | United Nations | Office United Nations | UN | UN & EC | United Nations  |  U.N.  |  UN | UN | United Nations | United Nations | Special Rapporteurs of the United Nations | UN & EC | Special Rapporteur Of The United Nations Human Rights Council  |  Special Rapporteur | UN International Police Task Force | United Nations  Babacar Gaye | United Nations  - WILFRID | United Nations Resident Coordinator","United Nations (UN) is an IGO, with affiliations to Global Diplomatic IGOs (International Government Organizations). They are also referred to as United Nations || U.N. || UN",https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
92,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,party,45,CON_45,Georgia,,Georgia,GRG,GRG,CON,Country/State,Country/State,Georgia,GEO,268.0,372.0,GRG,GRG,372.0,Asia,63.0,Government of Georgia,Government of Georgia (2012-),Government of Georgia (2012-),Georgia | GEORGIA | Georgia | GEORGIA | Georgia - E. SHEVARDNADZE | Georgia Germany | Georgia I. Menagarishvili | Georgia V. Goguadze | Republic Georgia | Republic Georgia E. A. Shevardnadze | Republic Georgia O. Patsatsia,Georgia is a Country/State in Asia. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
93,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,party,46,ENT_46,Abkhazia,,Abkhazia,,Abkhazia,ENT,Entity,Entity,Georgia,GEO,268.0,372.0,GRG,GRG,372.0,,,,,,,"Abkhazia is an entity, based in Georgia. ",https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
95,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,third party,21,CON_21,Russia,,Russia,RUS,RUS,CON,Country/State,Country/State,Russian Federation,RUS,643.0,365.0,RUS,RUS,365.0,Europe,57.0,Government of Russia (Soviet Union),Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,Russia (Soviet Union) | RUSSIAN FEDERATION | Russia | Russian Federation | RUSSIAN FEDERATION | Russian Federation - B. YELTSIN | Russian Federation Plenipotentiary | Russian Federation ( Facilitator | Russian Federation : | Russian Federation : Mikhailov | Russian Federation A. Kozirev | Russian Federation A. Shokhin | RUSSIAN FEDERATION ANGOLA | Russian Federation Federal Assembly | Russian Federation P. S. Grachev | Russian Federation Representative Sergey Viktorovich Lavrov | USSR  | Council of Federation of Russia | Russian Ministry of Foreign Affairs | Union of Soviet Socialist Republics | Soviet Union | Russian | Russia | Governments Russian Federation | Ministry Defence Russian Federation : P | Russian Federation Government | Russian Government | Russian Ministry Foreign Affairs | Russian Federation :  Mikhailov | Russian Federation  Plenipotentiary | Russian Federation V.V.Putin | V. V. Putin,Russia is a Country/State in Europe. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
96,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,third party,7,CON_7,France,,France,FRN,FRN,CON,Country/State,Country/State,France,FRA,250.0,220.0,FRN,FRN,220.0,Europe,33.0,Government of France,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin,France | FRANCE | France | FRANCE | French Republic | French Republic Mr | French Republic : | French Republic Representative | Permanent Representatives France | Republic France | Republic of France | French Republic | French Republic  Mr | French Republic,France is a Country/State in Europe. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
97,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,third party,2,CON_2,Germany,,Germany,GMY,GMY,CON,Country/State,Country/State,Germany,DEU,276.0,255.0,GMY,GMY,255.0,Europe,37.0,Government of Germany,Government of Germany (2021-),Government of Germany (2005-2021) | Government of Germany (2021-),Germany (Prussia) | GERMANY | Federal Republic Germany | Germany | GERMANY | Republic Germany | Federal Republic of Germany | German Foreign Ministry,Germany is a Country/State in Europe. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
99,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,third party,50,IGO_50,Organization for Security and Cooperation in Europe,,Organization for Security and Cooperation in Europe,OSCE,OSCE,IGO,Intergovernmental Organization,IGO,,,,,,,,,,,,,OSCE || Organization For Security And Cooperation In Europe || Organisation For Security And Cooperation In Europe || Organisation For Security And Co-Operation In Europe || Organization For Security And Co-Operation In Europe |  Organisation For Security And Cooperation In Europe  |  Organisation For Security And Co-Operation In Europe  |  Organization For Security And Co-Operation In Europe | Org. Security Cooperation Europe | Organization for Security and Cooperation in Europe (OSCE) | Organisation Security | Organisation Security Cooperation | Organization Security CoÃƒÂ¢Ã¢â€šÂ¬Ã‚Âoperation | Organization Security Cooperation | OSCE Assistance Group | OSCE Mission | OSCE Mission T. Guldimann | OSCE Support Group,"Organization for Security and Cooperation in Europe (OSCE) is an IGO, with affiliations to Regional Defense / Security IGOs (International Government Organizations). They are also referred to as OSCE || Organization For Security And Cooperation In Europe || Organisation For Security And Cooperation In Europe || Organisation For Security And Co-Operation In Europe || Organization For Security And Co-Operation In Europe",https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
100,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,third party,19,CON_19,United Kingdom,,United Kingdom,UKG,UKG,CON,Country/State,Country/State,United Kingdom of Great Britain and Northern Ireland,GBR,826.0,200.0,UKG,UKG,200.0,Europe,28.0,Government of United Kingdom,Government of the United Kingdom (2010-),Government of the United Kingdom (2010-),United Kingdom | UNITED KINGDOM | Britain | Great Britain | UK | United Kingdom | UNITED KINGDOM | United Kingdom Great Britain | United Kingdom of Great Britain and Northern Ireland | United Kingdom | British Government | United Kingdom  Government | United Kingdom Government,United Kingdom is a Country/State in Europe. ,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
101,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, 22 January 1998",Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22 January 1998),43,Abkhazia peace process,Georgia/Abkhazia,Intrastate,Pre-negotiation,1998-01-22,1998,1,22,January,third party,51,COA_51,Group of Friends UNSG,,Group of Friends UNSG,,Group of Friends UNSG,COA,State Coalition,State Coalition,,,,,,,,,,,,,,The Group of Friends UNSG is a coalition of member states of the UN. The co-chairs of the  Group of Friends UNSG are the P5 Members of the UN Security Council: France | Germany | United States | Russia | United Kingdom. The full list of all members of the Group of Friends UNSG can be found here: https://www.unaoc.org/who-we-are/group-of-friends/members/,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,"<a href=""https://www.peaceagreements.org/view/17"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/17"" target=""_blank"">View agreement PDF</a>"
